PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,7,6,1,241,295,46,16,26,61.5,14,16,87.5,47,102.2,6,13.0,0,0.0,3,6.5,7,15.2
Aaron Holiday,ATL,1,1,0,4,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,8,5,3,249,367,25,7,8,87.5,1,2,50.0,15,60.0,14,56.0,6,24.0,1,4.0,0,0.0
Alex Len,SAC,7,3,4,54,73,17,7,9,77.8,2,2,100.0,16,94.1,5,29.4,1,5.9,2,11.8,1,5.9
Amir Coffey,LAC,1,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,8,4,4,282,420,37,18,24,75.0,2,4,50.0,38,102.7,7,18.9,1,2.7,2,5.4,2,5.4
Anthony Davis,LAL,7,5,2,262,452,71,29,48,60.4,7,10,70.0,68,95.8,6,8.5,2,2.8,4,5.6,5,7.0
Anthony Edwards,MIN,5,1,4,199,384,2,1,1,100.0,1,2,50.0,3,150.0,0,0.0,0,0.0,0,0.0,1,50.0
Anthony Lamb,GSW,2,1,1,11,19,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Reaves,LAL,7,5,2,257,421,9,2,2,100.0,0,0,0.0,4,44.4,7,77.8,1,11.1,0,0.0,0,0.0
Austin Rivers,MIN,4,1,3,46,48,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,7,5,2,233,428,42,13,29,44.8,2,2,100.0,29,69.0,9,21.4,3,7.1,1,2.4,1,2.4
Bismack Biyombo,PHX,7,4,3,71,92,25,7,14,50.0,2,4,50.0,17,68.0,5,20.0,2,8.0,3,12.0,2,8.0
Blake Griffin,BOS,1,0,1,6,5,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,MIL,5,1,4,107,178,12,4,6,66.7,2,2,100.0,10,83.3,3,25.0,0,0.0,1,8.3,1,8.3
Bogdan Bogdanovic,ATL,6,2,4,157,200,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Bones Hyland,LAC,5,1,4,82,165,4,1,4,25.0,0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandon Boston Jr.,LAC,1,0,1,1,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,5,1,4,182,184,52,25,37,67.6,5,6,83.3,57,109.6,4,7.7,1,1.9,5,9.6,3,5.8
Bruce Brown,DEN,7,6,1,184,321,10,3,5,60.0,3,4,75.0,9,90.0,3,30.0,1,10.0,0,0.0,2,20.0
Caleb Martin,MIA,7,5,2,202,269,10,2,4,50.0,7,8,87.5,11,110.0,1,10.0,0,0.0,1,10.0,3,30.0
Cam Thomas,BKN,2,0,2,16,21,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Johnson,BKN,4,0,4,152,197,5,0,2,0.0,0,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,0,0.0
Cameron Payne,PHX,3,1,2,25,54,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Caris LeVert,CLE,5,1,4,170,234,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cedi Osman,CLE,5,1,4,93,126,2,1,1,100.0,0,0,0.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0
Chimezie Metu,SAC,3,1,2,6,6,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0
Chris Paul,PHX,7,4,3,250,461,5,1,3,33.3,0,0,0.0,2,40.0,2,40.0,1,20.0,0,0.0,0,0.0
Christian Braun,DEN,7,6,1,93,88,6,0,2,0.0,0,0,0.0,0,0.0,4,66.7,2,33.3,0,0.0,0,0.0
Clint Capela,ATL,6,2,4,151,182,42,19,32,59.4,2,2,100.0,40,95.2,8,19.0,2,4.8,1,2.4,1,2.4
Cody Zeller,MIA,6,4,2,53,70,9,4,5,80.0,0,0,0.0,8,88.9,4,44.4,0,0.0,0,0.0,0,0.0
D'Angelo Russell,LAL,7,5,2,219,473,5,2,4,50.0,0,0,0.0,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0
DaQuan Jeffries,NYK,1,1,0,4,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Damion Lee,PHX,6,4,2,73,83,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0
Danny Green,CLE,4,1,3,40,42,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Danuel House Jr.,PHI,3,2,1,13,22,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Darius Garland,CLE,5,1,4,189,353,3,1,1,100.0,0,0,0.0,2,66.7,1,33.3,1,33.3,1,33.3,0,0.0
David Duke Jr.,BKN,1,0,1,5,7,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
David Roddy,MEM,6,2,4,76,106,4,1,3,33.3,0,0,0.0,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0
Davion Mitchell,SAC,7,3,4,140,196,3,1,1,100.0,0,0,0.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0
Day'Ron Sharpe,BKN,2,0,2,20,35,6,2,2,100.0,2,2,100.0,6,100.0,2,33.3,1,16.7,1,16.7,1,16.7
De'Aaron Fox,SAC,7,3,4,270,591,3,0,1,0.0,0,2,0.0,0,0.0,1,33.3,0,0.0,0,0.0,1,33.3
De'Andre Hunter,ATL,6,2,4,224,259,6,4,4,100.0,0,0,0.0,8,133.3,1,16.7,0,0.0,1,16.7,0,0.0
De'Anthony Melton,PHI,6,5,1,144,236,10,3,3,100.0,0,0,0.0,6,60.0,6,60.0,3,30.0,1,10.0,0,0.0
DeAndre Jordan,DEN,3,2,1,10,12,4,2,3,66.7,1,2,50.0,5,125.0,0,0.0,0,0.0,0,0.0,1,25.0
Dean Wade,CLE,2,0,2,11,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Deandre Ayton,PHX,7,4,3,235,358,86,32,54,59.3,5,10,50.0,70,81.4,22,25.6,4,4.7,2,2.3,5,5.8
Dejounte Murray,ATL,5,1,4,190,354,6,3,4,75.0,0,0,0.0,6,100.0,2,33.3,1,16.7,0,0.0,0,0.0
Dennis Schroder,LAL,7,5,2,164,264,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Derrick Rose,NYK,1,1,0,3,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Derrick White,BOS,8,5,3,252,369,11,5,5,100.0,0,0,0.0,10,90.9,4,36.4,2,18.2,2,18.2,0,0.0
