PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Gordon,DEN,10,7,3,352,430,22,4,7,57.1,2,2,100.0,10,45.5,13,59.1,3,23.1,1,4.5,1,4.5
Aaron Holiday,ATL,1,1,0,4,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,11,6,5,344,501,8,0,0,0.0,0,0,0.0,0,0.0,7,87.5,2,28.6,1,12.5,0,0.0
Alex Len,SAC,7,3,4,54,73,6,3,3,100.0,2,2,100.0,8,133.3,1,16.7,0,0.0,1,16.7,1,16.7
Amir Coffey,LAC,1,0,1,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,GSW,11,5,6,378,538,7,4,5,80.0,0,0,0.0,8,114.3,2,28.6,0,0.0,0,0.0,0,0.0
Anthony Davis,LAL,10,7,3,371,668,57,17,30,56.7,9,10,90.0,45,78.9,18,31.6,7,38.9,2,3.5,5,8.8
Anthony Edwards,MIN,5,1,4,199,384,2,0,1,0.0,1,2,50.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0
Anthony Lamb,GSW,4,2,2,25,52,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Austin Reaves,LAL,10,7,3,346,564,10,1,3,33.3,0,0,0.0,2,20.0,7,70.0,0,0.0,0,0.0,0,0.0
Austin Rivers,MIN,4,1,3,46,48,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bam Adebayo,MIA,9,7,2,307,562,59,20,41,48.8,2,2,100.0,42,71.2,16,27.1,4,25.0,1,1.7,1,1.7
Bismack Biyombo,PHX,7,4,3,71,92,13,3,6,50.0,2,4,50.0,8,61.5,3,23.1,0,0.0,2,15.4,1,7.7
Blake Griffin,BOS,1,0,1,6,5,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,MIL,5,1,4,107,178,5,1,1,100.0,2,2,100.0,4,80.0,3,60.0,1,33.3,0,0.0,1,20.0
Bogdan Bogdanovic,ATL,6,2,4,157,200,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bones Hyland,LAC,5,1,4,82,165,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandon Boston Jr.,LAC,1,0,1,1,2,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brook Lopez,MIL,5,1,4,182,184,20,9,12,75.0,1,2,50.0,20,100.0,5,25.0,1,20.0,1,5.0,1,5.0
Bruce Brown,DEN,10,7,3,256,442,7,2,3,66.7,0,0,0.0,4,57.1,4,57.1,0,0.0,0,0.0,0,0.0
Caleb Martin,MIA,9,7,2,250,343,5,0,0,0.0,1,2,50.0,1,20.0,4,80.0,0,0.0,0,0.0,1,20.0
Cam Thomas,BKN,2,0,2,16,21,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Johnson,BKN,4,0,4,152,197,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Payne,PHX,6,3,3,111,210,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Caris LeVert,CLE,5,1,4,170,234,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,1,100.0,0,0.0,0,0.0
Cedi Osman,CLE,5,1,4,93,126,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Chimezie Metu,SAC,3,1,2,6,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Paul,PHX,7,4,3,250,461,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Christian Braun,DEN,10,7,3,131,128,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Clint Capela,ATL,6,2,4,151,182,13,1,4,25.0,0,0,0.0,2,15.4,9,69.2,0,0.0,0,0.0,0,0.0
Cody Zeller,MIA,8,6,2,73,104,8,3,5,60.0,0,0,0.0,6,75.0,3,37.5,1,33.3,0,0.0,0,0.0
D'Angelo Russell,LAL,10,7,3,308,640,4,2,4,50.0,0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0
DaQuan Jeffries,NYK,2,1,1,5,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Damion Lee,PHX,7,4,3,77,90,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Danny Green,CLE,4,1,3,40,42,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Danuel House Jr.,PHI,5,3,2,29,45,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Darius Garland,CLE,5,1,4,189,353,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,1,100.0,0,0.0,0,0.0
David Duke Jr.,BKN,1,0,1,5,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
David Roddy,MEM,6,2,4,76,106,1,1,1,100.0,0,0,0.0,3,300.0,0,0.0,0,0.0,0,0.0,0,0.0
Davion Mitchell,SAC,7,3,4,140,196,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Day'Ron Sharpe,BKN,2,0,2,20,35,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,3,100.0,0,0.0,0,0.0
De'Aaron Fox,SAC,7,3,4,270,591,4,2,3,66.7,0,0,0.0,4,100.0,1,25.0,0,0.0,0,0.0,0,0.0
De'Andre Hunter,ATL,6,2,4,224,259,5,3,4,75.0,1,2,50.0,7,140.0,0,0.0,0,0.0,0,0.0,1,20.0
De'Anthony Melton,PHI,9,7,2,222,337,7,1,2,50.0,0,0,0.0,2,28.6,5,71.4,1,20.0,0,0.0,0,0.0
DeAndre Jordan,DEN,3,2,1,10,12,2,0,0,0.0,1,2,50.0,1,50.0,1,50.0,0,0.0,0,0.0,1,50.0
Dean Wade,CLE,2,0,2,11,16,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Deandre Ayton,PHX,10,6,4,319,469,52,17,33,51.5,1,2,50.0,37,71.2,16,30.8,2,12.5,2,3.8,1,1.9
Dejounte Murray,ATL,5,1,4,190,354,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Dennis Schroder,LAL,10,7,3,238,395,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Derrick Rose,NYK,1,1,0,3,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Derrick White,BOS,11,6,5,349,469,7,3,3,100.0,0,0,0.0,6,85.7,2,28.6,0,0.0,2,28.6,0,0.0
Desmond Bane,MEM,6,2,4,231,452,5,3,4,75.0,0,0,0.0,6,120.0,1,20.0,0,0.0,0,0.0,0,0.0
Devin Booker,PHX,10,6,4,423,749,4,3,3,100.0,0,0,0.0,7,175.0,1,25.0,0,0.0,0,0.0,0,0.0
Dewayne Dedmon,PHI,1,0,1,5,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dillon Brooks,MEM,6,2,4,167,223,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Domantas Sabonis,SAC,7,3,4,243,523,68,14,28,50.0,2,4,50.0,31,45.6,30,44.1,6,20.0,6,8.8,2,2.9
Donovan Mitchell,CLE,5,1,4,207,347,8,2,3,66.7,0,0,0.0,4,50.0,5,62.5,2,40.0,0,0.0,0,0.0
Donte DiVincenzo,GSW,11,5,6,197,418,5,0,0,0.0,2,2,100.0,2,40.0,3,60.0,0,0.0,1,20.0,1,20.0
Dorian Finney-Smith,BKN,4,0,4,101,115,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
Draymond Green,GSW,10,4,6,313,723,35,4,7,57.1,0,0,0.0,8,22.9,25,71.4,10,40.0,3,8.6,0,0.0
Duncan Robinson,MIA,9,7,2,158,206,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Edmond Sumner,BKN,1,0,1,4,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eric Gordon,LAC,5,1,4,149,176,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Evan Mobley,CLE,5,1,4,188,309,20,2,9,22.2,1,2,50.0,5,25.0,8,40.0,1,12.5,2,10.0,1,5.0
Furkan Korkmaz,PHI,2,1,1,7,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gabe Vincent,MIA,9,7,2,269,445,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gary Payton II,GSW,10,4,6,154,205,6,3,5,60.0,0,0,0.0,6,100.0,1,16.7,0,0.0,0,0.0,0,0.0
Georges Niang,PHI,9,7,2,139,145,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giannis Antetokounmpo,MIL,3,0,3,91,205,5,0,2,0.0,0,0,0.0,0,0.0,3,60.0,1,33.3,0,0.0,0,0.0
Goran Dragic,MIL,2,1,1,7,11,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Grant Williams,BOS,8,4,4,113,107,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Grayson Allen,MIL,5,1,4,149,182,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0
Harrison Barnes,SAC,7,3,4,197,221,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Haywood Highsmith,MIA,8,6,2,72,87,8,2,3,66.7,0,0,0.0,4,50.0,5,62.5,1,20.0,0,0.0,0,0.0
Immanuel Quickley,NYK,8,5,3,175,265,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Isaac Okoro,CLE,5,1,4,75,85,3,0,0,0.0,2,2,100.0,2,66.7,1,33.3,1,100.0,1,33.3,1,33.3
Isaiah Hartenstein,NYK,9,5,4,180,229,16,4,8,50.0,4,6,66.7,12,75.0,4,25.0,0,0.0,1,6.3,3,18.8
Ish Smith,DEN,3,3,0,10,22,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ish Wainright,PHX,5,1,4,19,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ivica Zubac,LAC,5,1,4,130,224,13,2,2,100.0,0,2,0.0,4,30.8,8,61.5,0,0.0,2,15.4,1,7.7
Ja Morant,MEM,5,1,4,187,387,5,0,0,0.0,0,0,0.0,0,0.0,4,80.0,1,25.0,1,20.0,0,0.0
JaMychal Green,GSW,7,2,5,49,64,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jaden Springer,PHI,2,1,1,12,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jae Crowder,MIL,4,1,3,41,71,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jalen Brunson,NYK,9,5,4,350,755,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0
Jalen Johnson,ATL,6,2,4,56,105,6,0,2,0.0,2,2,100.0,2,33.3,3,50.0,1,33.3,0,0.0,1,16.7
Jalen McDaniels,PHI,7,5,2,101,92,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Jamal Murray,DEN,10,7,3,388,849,10,5,5,100.0,0,0,0.0,10,100.0,5,50.0,1,20.0,0,0.0,0,0.0
James Harden,PHI,9,7,2,343,770,3,0,0,0.0,0,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0
Jaren Jackson Jr.,MEM,6,2,4,220,304,19,5,11,45.5,4,4,100.0,14,73.7,3,15.8,1,33.3,3,15.8,2,10.5
Jarred Vanderbilt,LAL,10,7,3,191,227,10,1,2,50.0,1,2,50.0,3,30.0,5,50.0,4,80.0,1,10.0,1,10.0
Jarrett Allen,CLE,5,1,4,191,168,18,3,7,42.9,2,2,100.0,8,44.4,10,55.6,4,40.0,0,0.0,1,5.6
Jason Preston,LAC,1,0,1,1,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jaylen Brown,BOS,11,6,5,411,629,15,5,9,55.6,2,2,100.0,12,80.0,4,26.7,0,0.0,0,0.0,1,6.7
Jaylen Nowell,MIN,5,1,4,62,105,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jayson Tatum,BOS,11,6,5,429,831,23,6,12,50.0,3,4,75.0,15,65.2,5,21.7,2,40.0,3,13.0,1,4.3
Jeff Green,DEN,10,7,3,195,192,10,3,6,50.0,0,0,0.0,7,70.0,3,30.0,1,33.3,1,10.0,0,0.0
Jevon Carter,MIL,4,1,3,49,80,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jimmy Butler,MIA,8,7,1,307,600,21,7,7,100.0,2,2,100.0,16,76.2,10,47.6,3,30.0,2,9.5,1,4.8
Jock Landale,PHX,6,2,4,82,101,10,4,6,66.7,0,0,0.0,8,80.0,3,30.0,0,0.0,1,10.0,0,0.0
Joe Harris,BKN,4,0,4,44,53,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Joe Ingles,MIL,5,1,4,89,128,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Joel Embiid,PHI,7,5,2,257,463,30,14,16,87.5,3,4,75.0,32,106.7,9,30.0,2,22.2,0,0.0,2,6.7
John Collins,ATL,6,2,4,164,202,5,1,3,33.3,0,0,0.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0
John Konchar,MEM,5,2,3,49,75,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jonathan Kuminga,GSW,8,4,4,55,104,2,1,1,100.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Jordan McLaughlin,MIN,2,1,1,14,24,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jordan Poole,GSW,11,5,6,238,499,4,0,0,0.0,2,2,100.0,2,50.0,2,50.0,0,0.0,1,25.0,1,25.0
Josh Hart,NYK,9,5,4,311,416,5,0,2,0.0,0,0,0.0,0,0.0,2,40.0,1,50.0,0,0.0,0,0.0
Josh Minott,MIN,1,0,1,6,6,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Josh Okogie,PHX,10,6,4,175,159,7,0,2,0.0,0,0,0.0,0,0.0,4,57.1,1,25.0,1,14.3,0,0.0
Jrue Holiday,MIL,5,1,4,191,435,9,0,1,0.0,1,2,50.0,1,11.1,6,66.7,1,16.7,1,11.1,1,11.1
Julius Randle,NYK,8,5,3,258,436,10,3,3,100.0,2,6,33.3,8,80.0,4,40.0,0,0.0,0,0.0,3,30.0
Justin Champagnie,BOS,1,1,0,5,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Karl-Anthony Towns,MIN,5,1,4,180,307,7,2,3,66.7,0,0,0.0,5,71.4,3,42.9,0,0.0,1,14.3,0,0.0
Kawhi Leonard,LAC,2,1,1,80,134,11,6,9,66.7,0,0,0.0,13,118.2,2,18.2,1,50.0,0,0.0,0,0.0
Keegan Murray,SAC,7,3,4,194,189,3,1,1,100.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Kenneth Lofton Jr.,MEM,4,2,2,12,21,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Kentavious Caldwell-Pope,DEN,10,7,3,329,366,6,1,2,50.0,1,2,50.0,3,50.0,3,50.0,0,0.0,0,0.0,1,16.7
Kessler Edwards,SAC,6,2,4,7,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kevin Durant,PHX,10,6,4,429,788,20,6,9,66.7,4,4,100.0,16,80.0,8,40.0,0,0.0,0,0.0,2,10.0
Kevin Huerter,SAC,7,3,4,183,240,8,3,5,60.0,0,0,0.0,6,75.0,2,25.0,0,0.0,1,12.5,0,0.0
Kevin Love,MIA,9,7,2,195,345,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Kevon Looney,GSW,11,5,6,279,502,36,4,9,44.4,0,0,0.0,8,22.2,25,69.4,10,40.0,1,2.8,0,0.0
Khris Middleton,MIL,5,1,4,173,354,3,1,2,50.0,0,0,0.0,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0
Klay Thompson,GSW,11,5,6,393,559,13,3,6,50.0,3,4,75.0,9,69.2,4,30.8,3,75.0,1,7.7,2,15.4
Kyle Anderson,MIN,4,1,3,104,210,10,2,4,50.0,0,0,0.0,4,40.0,5,50.0,0,0.0,0,0.0,0,0.0
Kyle Lowry,MIA,9,7,2,218,485,2,0,0,0.0,2,2,100.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Lamar Stevens,CLE,2,0,2,9,15,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Landry Shamet,PHX,9,6,3,147,163,2,1,1,100.0,0,0,0.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0
LeBron James,LAL,10,7,3,366,706,15,6,8,75.0,2,2,100.0,14,93.3,6,40.0,1,16.7,0,0.0,1,6.7
Lonnie Walker IV,LAL,7,4,3,78,101,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Luke Kennard,MEM,5,2,3,107,113,4,1,2,50.0,0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0
Luke Kornet,BOS,3,2,1,10,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Malcolm Brogdon,BOS,11,6,5,302,484,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,1,50.0,0,0.0,0,0.0
Malik Beasley,LAL,8,5,3,83,78,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Malik Monk,SAC,7,3,4,205,339,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0
MarJon Beauchamp,MIL,2,1,1,5,7,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Marcus Morris Sr.,LAC,3,0,3,68,80,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Marcus Smart,BOS,11,6,5,358,605,10,3,6,50.0,0,0,0.0,6,60.0,4,40.0,1,25.0,0,0.0,0,0.0
Mason Plumlee,LAC,5,1,4,91,111,5,0,1,0.0,1,2,50.0,1,20.0,3,60.0,2,66.7,0,0.0,1,20.0
Max Christie,LAL,6,3,3,27,38,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Max Strus,MIA,9,7,2,263,318,4,2,2,100.0,0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0
Meyers Leonard,MIL,2,1,1,5,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Michael Porter Jr.,DEN,10,7,3,337,400,14,4,8,50.0,0,0,0.0,10,71.4,5,35.7,3,60.0,1,7.1,0,0.0
Mikal Bridges,BKN,4,0,4,157,253,3,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mike Conley,MIN,5,1,4,183,400,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Mike Muscala,BOS,3,2,1,10,9,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
