,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
19371,,James Harden,HOU,12,38.4,124,134,1.08,,42,95,44.2,53.7,9.7,16.1,15.3,47.6,2020,iso,2.4,73.8,,,,,
19372,,LeBron James,LAL,21,21.1,111,116,1.04,,42,91,46.2,53.3,7.2,15.3,14.4,47.7,2020,iso,4.5,64.3,,,,,
19373,,Jimmy Butler,MIA,21,15.7,69,70,1.01,,23,52,44.2,44.2,8.7,20.3,18.8,49.3,2020,iso,4.3,61.9,,,,,
19374,,Jamal Murray,DEN,19,11.5,52,68,1.31,,22,43,51.2,61.6,3.8,15.4,13.5,55.8,2020,iso,1.9,92.9,,,,,
19375,,Anthony Davis,LAL,21,11.0,54,59,1.09,,22,41,53.7,53.7,7.4,18.5,16.7,55.6,2020,iso,1.9,78.6,,,,,
19376,,Kawhi Leonard,LAC,13,20.2,69,57,0.83,,23,58,39.7,39.7,10.1,14.5,13.0,39.1,2020,iso,8.7,35.7,,,,,
19377,,Jayson Tatum,BOS,17,17.2,75,53,0.71,,14,58,24.1,29.3,9.3,14.7,13.3,32.0,2020,iso,1.3,16.7,,,,,
19378,,Chris Paul,OKC,7,31.5,46,50,1.09,,18,39,46.2,53.8,8.7,8.7,8.7,45.7,2020,iso,2.2,76.2,,,,,
19379,,Giannis Antetokounmpo,MIL,9,17.0,39,46,1.18,,16,29,55.2,62.1,10.3,17.9,15.4,53.8,2020,iso,2.6,85.7,,,,,
19380,,Malcolm Brogdon,IND,4,36.4,32,44,1.38,,11,21,52.4,61.9,3.1,34.4,34.4,65.6,2020,iso,3.1,100.0,,,,,
19381,,,OKC,7,37.1,43,43,1.0,,17,38,44.7,53.9,9.3,4.7,4.7,41.9,2020,iso,2.3,58.5,,,,,
19382,,Khris Middleton,MIL,10,23.4,54,43,0.8,,18,48,37.5,39.6,5.6,5.6,7.4,37.0,2020,iso,1.9,23.8,,,,,
19383,,Donovan Mitchell,UTA,7,18.0,38,42,1.1,,13,30,43.3,58.3,10.5,7.9,10.5,42.1,2020,iso,0.0,81.0,,,,,
19384,,Paul George,LAC,13,16.0,45,39,0.87,,14,36,38.9,43.1,11.1,13.3,13.3,40.0,2020,iso,4.4,46.3,,,,,
19385,,Luka Doncic,DAL,6,20.4,38,35,0.92,,12,31,38.7,45.2,7.9,13.2,7.9,42.1,2020,iso,2.6,52.4,,,,,
19386,,Russell Westbrook,HOU,8,21.7,40,34,0.85,,15,31,48.4,50.0,17.5,5.0,5.0,42.5,2020,iso,0.0,40.5,,,,,
19387,,Pascal Siakam,TOR,11,19.6,44,34,0.77,,12,34,35.3,36.8,9.1,15.9,13.6,38.6,2020,iso,2.3,19.0,,,,,
19388,,Bam Adebayo,MIA,19,11.9,38,32,0.84,,11,25,44.0,44.0,15.8,15.8,13.2,44.7,2020,iso,0.0,38.1,,,,,
19389,,Nikola Jokic,DEN,19,7.4,33,31,0.94,,12,26,46.2,48.1,9.1,12.1,6.1,48.5,2020,iso,0.0,54.8,,,,,
19390,,Fred VanVleet,TOR,11,12.1,27,29,1.07,,10,21,47.6,57.1,11.1,11.1,11.1,48.1,2020,iso,0.0,71.4,,,,,
