TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Utah Jazz,17,17,45.1,348,696,50.0,51.4,40.9,329,632,52.1,4.1,19,64,29.7
Detroit Pistons,17,17,42.5,348,640,54.4,55.6,39.1,332,589,56.4,3.4,16,51,31.4
Washington Wizards,16,16,44.2,297,629,47.2,48.6,39.9,280,568,49.3,4.3,17,61,27.9
Charlotte Hornets,17,17,42.0,332,627,53.0,54.0,37.8,319,564,56.6,4.2,13,63,20.6
Memphis Grizzlies,16,16,43.0,323,619,52.2,54.6,38.0,293,548,53.5,4.9,30,71,42.3
Oklahoma City Thunder,16,16,42.6,315,616,51.1,51.7,39.4,308,570,54.0,3.2,7,46,15.2
San Antonio Spurs,16,16,42.1,328,612,53.6,54.8,39.4,313,572,54.7,2.8,15,40,37.5
Boston Celtics,16,16,41.1,306,599,51.1,52.3,38.4,292,560,52.1,2.7,14,39,35.9
Chicago Bulls,16,16,43.5,301,591,50.9,52.7,39.2,280,533,52.5,4.3,21,58,36.2
Sacramento Kings,14,14,48.2,324,587,55.2,57.2,41.8,301,509,59.1,6.4,23,78,29.5
New York Knicks,16,16,38.9,273,570,47.9,49.6,33.6,254,493,51.5,5.3,19,77,24.7
Miami Heat,16,16,41.5,296,569,52.0,54.0,35.3,273,484,56.4,6.2,23,85,27.1
Houston Rockets,16,16,39.7,308,562,54.8,56.0,36.9,295,522,56.5,2.8,13,40,32.5
New Orleans Pelicans,16,16,39.0,290,554,52.3,53.1,35.4,282,502,56.2,3.7,8,52,15.4
Brooklyn Nets,16,16,40.2,280,554,50.5,52.0,37.6,264,519,50.9,2.5,16,35,45.7
Milwaukee Bucks,15,15,41.2,251,554,45.3,46.3,38.2,240,514,46.7,3.0,11,40,27.5
Indiana Pacers,14,14,45.3,267,553,48.3,50.5,40.1,243,490,49.6,5.2,24,63,38.1
LA Clippers,16,16,39.0,267,552,48.4,50.1,35.5,248,503,49.3,3.5,19,49,38.8
Orlando Magic,16,16,37.8,288,543,53.0,53.9,35.0,279,503,55.5,2.8,9,40,22.5
Golden State Warriors,16,16,37.6,254,540,47.0,48.3,34.0,240,489,49.1,3.5,14,51,27.5
Atlanta Hawks,15,15,40.0,270,537,50.3,51.2,36.9,260,495,52.5,3.1,10,42,23.8
Portland Trail Blazers,15,15,41.6,260,536,48.5,49.8,37.4,246,483,50.9,4.1,14,53,26.4
Phoenix Suns,15,15,42.4,251,534,47.0,48.7,37.9,233,477,48.8,4.5,18,57,31.6
Toronto Raptors,16,16,40.9,299,533,56.1,57.7,37.3,282,486,58.0,3.6,17,47,36.2
Dallas Mavericks,15,15,43.7,282,533,52.9,53.7,40.0,274,489,56.0,3.6,8,44,18.2
Minnesota Timberwolves,15,15,38.1,253,531,47.6,49.4,34.0,234,474,49.4,4.1,19,57,33.3
Philadelphia 76ers,15,15,41.0,279,520,53.7,54.6,37.8,269,479,56.2,3.2,10,41,24.4
Cleveland Cavaliers,15,15,40.3,257,520,49.4,50.8,36.4,243,470,51.7,3.9,14,50,28.0
Denver Nuggets,15,15,39.6,286,517,55.3,57.1,35.6,268,465,57.6,4.0,18,52,34.6
Los Angeles Lakers,14,14,40.4,269,507,53.1,54.8,35.6,251,447,56.2,4.8,18,60,30.0
