TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Golden State Warriors,14,14,32.3,12.9,29.1,44.1,53.8,14.9,7.2,13.4,53.7,17.4,5.6,15.7,35.9
Orlando Magic,14,14,32.0,11.2,28.8,39.0,47.6,12.3,6.2,11.1,56.1,19.7,5.0,17.7,28.2
New Orleans Pelicans,13,13,32.0,12.0,28.4,42.3,50.9,15.1,7.1,13.4,52.9,16.9,4.9,15.0,32.8
Los Angeles Lakers,13,13,30.6,12.1,27.8,43.5,52.1,14.6,7.3,13.3,54.9,15.9,4.8,14.5,33.0
LA Clippers,14,14,31.0,11.5,27.6,41.6,49.7,14.2,7.0,12.6,55.4,16.8,4.5,15.0,30.0
New York Knicks,13,13,29.7,12.0,27.6,43.5,52.1,13.8,7.2,12.8,56.3,15.9,4.8,14.8,32.3
Miami Heat,14,14,31.6,12.1,26.9,44.9,57.4,11.7,5.4,9.9,54.0,19.9,6.7,16.9,39.7
Milwaukee Bucks,13,13,29.4,12.2,26.8,45.7,53.9,16.1,7.8,14.7,53.4,13.3,4.4,12.1,36.3
Detroit Pistons,15,15,29.4,12.5,26.7,46.6,55.6,14.5,7.7,13.2,58.1,14.9,4.8,13.5,35.5
Philadelphia 76ers,14,14,31.0,11.1,26.1,42.5,50.7,13.9,6.8,11.7,57.9,17.1,4.3,14.4,29.9
Brooklyn Nets,14,14,30.6,10.8,26.1,41.4,52.3,12.8,5.1,10.9,46.4,17.8,5.7,15.1,37.7
Atlanta Hawks,14,14,29.1,10.8,26.0,41.5,50.3,13.5,6.2,12.1,51.5,15.6,4.6,13.9,32.8
Denver Nuggets,13,13,29.2,13.0,25.8,50.4,59.3,14.9,8.5,13.2,64.3,14.3,4.5,12.6,36.0
Cleveland Cavaliers,13,13,30.5,12.0,25.7,46.7,56.0,15.8,7.2,13.3,54.3,14.7,4.8,12.4,38.5
Chicago Bulls,14,14,29.8,11.9,25.5,46.8,56.0,14.1,7.2,12.1,59.8,15.7,4.7,13.4,35.1
Memphis Grizzlies,14,14,28.5,10.7,25.5,42.0,51.8,11.5,5.7,10.3,55.6,17.0,5.0,15.2,32.9
San Antonio Spurs,14,14,27.5,13.1,25.4,51.8,62.1,14.0,7.9,12.9,61.3,13.5,5.2,12.4,42.0
Portland Trail Blazers,13,13,29.1,10.5,25.2,41.8,51.1,12.4,5.8,10.8,54.3,16.7,4.7,14.5,32.4
Indiana Pacers,12,12,29.0,12.6,25.2,50.0,61.4,13.1,6.8,11.4,59.9,15.8,5.8,13.8,41.8
Boston Celtics,14,14,27.6,11.4,25.1,45.6,52.7,15.5,7.9,14.1,55.8,12.1,3.6,11.0,32.5
Washington Wizards,14,14,28.2,10.6,25.1,42.2,52.3,11.8,5.5,10.5,52.4,16.4,5.1,14.6,34.8
Sacramento Kings,12,12,28.4,11.2,24.9,44.8,54.8,12.9,6.2,11.3,54.4,15.5,5.0,13.6,36.8
Minnesota Timberwolves,14,14,26.7,11.2,24.8,45.2,54.8,13.0,6.5,12.1,53.8,13.7,4.7,12.7,37.1
Houston Rockets,14,14,27.9,11.3,24.6,45.9,55.8,11.9,6.4,10.4,61.6,16.1,4.9,14.1,34.3
Dallas Mavericks,12,12,29.5,9.8,24.4,39.9,47.6,15.2,6.0,12.6,47.7,14.3,3.8,11.8,31.7
Charlotte Hornets,15,15,27.5,10.2,24.2,42.1,50.0,13.6,6.4,11.9,53.6,14.0,3.8,12.3,31.0
Oklahoma City Thunder,14,14,26.6,9.8,24.1,40.7,50.6,10.7,5.0,9.7,51.5,15.9,4.8,14.4,33.3
Utah Jazz,15,15,25.4,11.0,22.9,48.0,55.7,12.9,7.5,11.7,64.0,12.5,3.5,11.3,31.4
Phoenix Suns,13,13,26.8,10.5,22.2,47.1,55.9,13.7,6.5,11.4,57.4,13.1,3.9,10.8,36.2
Toronto Raptors,15,15,26.3,8.5,21.7,39.1,47.8,10.1,4.7,8.3,56.0,16.2,3.8,13.3,28.5
