player,seasons,poss,rapm,period_rank,overallrank,id
LeBron James,2012-16,82723,6.46,1,1,32731
LeBron James,2013-17,83609,6.27,1,2,32732
Kevin Garnett,2003-07,65590,6.17,1,3,32733
LeBron James,2006-10,80506,6.15,1,4,32734
Kevin Garnett,2000-04,71150,6.01,1,5,32735
Tim Duncan,2001-05,75102,6.00,1,6,32736
Tim Duncan,1999-03,71778,6.00,1,7,32737
Kevin Garnett,2002-06,67126,5.98,1,8,32738
Stephen Curry,2014-18,74908,5.81,1,9,32739
Kevin Garnett,2001-05,69497,5.76,2,10,32740
LeBron James,2016-20,76680,5.76,1,11,32741
Dwyane Wade,2006-10,59901,5.73,2,12,32742
LeBron James,2005-09,78411,5.73,1,13,32743
LeBron James,2008-12,79680,5.71,1,14,32744
Tim Duncan,2000-04,71539,5.68,2,15,32745
Kevin Garnett,2004-08,66706,5.64,1,16,32746
Chris Paul,2012-16,59378,5.64,2,17,32747
Chris Paul,2013-17,57746,5.61,2,18,32748
Stephen Curry,2013-17,78989,5.60,3,19,32749
Tim Duncan,2003-07,74397,5.58,2,20,32750
Tim Duncan,2002-06,73168,5.58,2,21,32751
LeBron James,2009-13,82158,5.55,1,22,32752
LeBron James,2011-15,84252,5.54,1,23,32753
Chris Paul,2014-18,58707,5.54,2,24,32754
Kevin Garnett,2005-09,55914,5.52,2,25,32755
LeBron James,2007-11,81870,5.51,1,26,32756
Stephen Curry,2015-19,78036,5.49,1,27,32757
Kevin Garnett,2006-10,57932,5.44,3,28,32758
LeBron James,2017-21,67958,5.42,1,29,32759
Stephen Curry,2017-21,54315,5.40,2,30,32760
Stephen Curry,2012-16,65575,5.36,3,31,32761
Stephen Curry,2016-20,61401,5.34,2,32,32762
LeBron James,2010-14,83111,5.29,1,33,32763
Michael Jordan,1997-01,22723,5.26,1,34,32764
Kevin Garnett,2008-12,58843,5.25,2,35,32765
Kevin Garnett,2007-11,57795,5.24,2,36,32766
LeBron James,2015-19,76837,5.23,2,37,32767
Dirk Nowitzki,2010-14,55809,5.19,2,38,32768
Dirk Nowitzki,2008-12,63788,5.18,3,39,32769
LeBron James,2014-18,85035,5.17,3,40,32770
Joel Embiid,2015-19,24830,5.15,3,41,32771
Manu Ginobili,2002-06,44466,5.15,3,42,32772
Manu Ginobili,2004-08,59067,5.14,2,43,32773
Manu Ginobili,2003-07,56783,5.13,3,44,32774
Kevin Garnett,1999-03,61377,5.13,2,45,32775
Shaquille O'Neal,2000-04,78579,5.10,3,46,32776
John Stockton,1998-02,50801,5.03,1,47,32777
Manu Ginobili,2001-05,34637,5.01,3,48,32778
Tim Duncan,2004-08,69611,5.00,3,49,32779
Joel Embiid,2017-21,41599,4.98,3,50,32780
Dirk Nowitzki,2007-11,67075,4.96,3,51,32781
Chris Paul,2016-20,53330,4.95,3,52,32782
John Stockton,1999-03,49369,4.94,3,53,32783
John Stockton,2000-04,41763,4.89,4,54,32784
Shaquille O'Neal,1997-01,57644,4.89,2,55,32785
Shaquille O'Neal,2001-05,72070,4.88,4,56,32786
Shaquille O'Neal,1998-02,70180,4.87,2,57,32787
Chris Paul,2011-15,61150,4.87,2,58,32788
Dirk Nowitzki,2011-15,52918,4.87,3,59,32789
Draymond Green,2015-19,81852,4.83,4,60,32790
Dirk Nowitzki,2009-13,58279,4.80,2,61,32791
Joel Embiid,2016-20,32140,4.80,4,62,32792
Nikola Jokic,2014-18,24630,4.77,4,63,32793
Tim Duncan,2005-09,67924,4.77,3,64,32794
Manu Ginobili,2005-09,53096,4.76,4,65,32795
Nikola Jokic,2015-19,38874,4.74,5,66,32796
Stephen Curry,2011-15,59117,4.74,4,67,32797
Kyle Lowry,2013-17,58681,4.74,4,68,32798
Dwyane Wade,2005-09,63273,4.72,5,69,32799
Chris Paul,2015-19,56958,4.71,6,70,32800
Kyle Lowry,2014-18,63543,4.71,5,71,32801
Tim Duncan,1998-02,65502,4.69,3,72,32802
Kyle Lowry,2015-19,66726,4.59,7,73,32803
Russell Westbrook,2013-17,61997,4.55,5,74,32804
Shaquille O'Neal,1999-03,71679,4.53,4,75,32805
Nikola Jokic,2016-20,53478,4.52,5,76,32806
LeBron James,2004-08,74724,4.51,4,77,32807
Kevin Garnett,2009-13,52157,4.49,3,78,32808
Rasheed Wallace,2000-04,63362,4.47,5,79,32809
Steve Nash,2007-11,60464,4.46,4,80,32810
Dirk Nowitzki,2000-04,69413,4.43,6,81,32811
Kawhi Leonard,2014-18,48181,4.42,6,82,32812
John Stockton,1997-01,44493,4.41,3,83,32813
David Robinson,1997-01,42282,4.41,4,84,32814
Tim Duncan,1997-01,51323,4.37,5,85,32815
Shaquille O'Neal,2002-06,68396,4.36,4,86,32816
James Harden,2014-18,75184,4.35,7,87,32817
Rasheed Wallace,1999-03,57840,4.33,5,88,32818
Kyle Lowry,2012-16,53488,4.32,4,89,32819
Dirk Nowitzki,2001-05,74759,4.32,5,90,32820
Tim Duncan,2006-10,65601,4.30,4,91,32821
Steve Nash,2008-12,54214,4.30,4,92,32822
Chris Paul,2017-21,56847,4.28,4,93,32823
Vince Carter,1997-01,34177,4.28,6,94,32824
Chris Paul,2010-14,52872,4.27,3,95,32825
Rasheed Wallace,2001-05,64132,4.27,6,96,32826
Kyle Lowry,2016-20,68434,4.26,6,97,32827
Kobe Bryant,2006-10,84421,4.26,5,98,32828
Nikola Jokic,2013-17,15002,4.25,6,99,32829
David Robinson,1999-03,50998,4.24,6,100,32830
Giannis Antetokounmpo,2017-21,65708,4.22,5,101,32831
Dwyane Wade,2008-12,62544,4.19,5,102,32832
James Harden,2015-19,77006,4.18,8,103,32833
Jimmy Butler,2015-19,58201,4.16,9,104,32834
Kyle Korver,2012-16,52898,4.16,5,105,32835
Ray Allen,2001-05,59629,4.15,7,106,32836
Draymond Green,2013-17,65108,4.15,7,107,32837
