TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Atlanta Hawks,78,1915,21.5,0.93,1787,677,1513,44.7,48.8,9.7,13.0,7.6,1.7,43.2,55.2
Chicago Bulls,78,1762,20.7,0.95,1669,659,1387,47.5,50.2,10.9,13.1,10.2,2.8,45.2,75.9
Cleveland Cavaliers,79,1673,19.8,0.98,1643,606,1307,46.4,52.8,10.2,13.2,8.5,1.6,44.4,93.1
Oklahoma City Thunder,79,1667,18.4,0.91,1519,591,1294,45.7,47.8,11.5,13.6,10.7,2.8,44.0,44.8
Portland Trail Blazers,78,1511,17.8,1.0,1516,514,1145,44.9,52.4,12.8,13.0,10.7,2.1,44.5,96.6
Houston Rockets,79,1781,19.7,0.84,1495,528,1309,40.3,45.2,12.1,16.7,11.0,2.5,38.8,10.3
Orlando Magic,78,1635,18.8,0.91,1492,589,1244,47.3,50.7,9.9,15.8,9.1,1.8,43.9,48.3
New York Knicks,79,1583,17.9,0.94,1489,547,1243,44.0,47.9,13.6,11.2,12.6,3.3,44.3,72.4
Detroit Pistons,78,1780,20.2,0.82,1468,551,1380,39.9,43.8,9.6,14.6,8.4,1.9,38.3,3.4
Memphis Grizzlies,78,1671,18.6,0.87,1461,570,1331,42.8,46.0,10.3,12.2,9.6,2.4,41.8,20.7
Indiana Pacers,79,1586,17.7,0.91,1450,564,1260,44.8,49.8,9.4,14.2,8.4,3.0,41.6,51.7
LA Clippers,79,1506,17.4,0.94,1414,515,1137,45.3,49.6,12.0,14.7,10.4,2.5,43.4,69.0
Phoenix Suns,78,1564,17.9,0.89,1387,538,1242,43.3,47.0,9.7,12.7,7.7,1.9,41.9,31.0
Charlotte Hornets,79,1693,18.8,0.8,1351,518,1347,38.5,42.8,8.4,13.9,7.4,1.9,36.9,0.0
Miami Heat,78,1441,17.2,0.93,1346,495,1111,44.6,50.3,10.1,14.9,8.8,2.2,42.1,62.1
Dallas Mavericks,79,1295,15.4,1.03,1336,495,994,49.8,56.1,13.1,13.4,11.9,3.3,47.3,100.0
Boston Celtics,78,1370,15.9,0.97,1323,462,1062,43.5,51.2,11.2,13.6,10.1,2.3,42.3,86.2
San Antonio Spurs,78,1535,17.0,0.86,1321,526,1213,43.4,46.2,9.4,13.5,8.1,2.0,41.4,13.8
Utah Jazz,78,1471,16.5,0.89,1307,475,1092,43.5,48.7,10.5,17.0,9.5,1.8,40.7,34.5
Los Angeles Lakers,78,1483,16.7,0.88,1301,484,1083,44.7,48.1,12.0,17.3,10.9,2.6,41.9,24.1
Minnesota Timberwolves,79,1370,15.5,0.93,1279,473,1057,44.7,50.2,10.9,14.5,9.3,2.5,42.6,58.6
Washington Wizards,78,1403,16.5,0.89,1241,511,1115,45.8,49.5,7.6,15.3,7.3,2.4,41.2,27.6
Milwaukee Bucks,78,1302,14.7,0.94,1218,459,999,45.9,52.5,9.2,15.5,7.9,1.5,42.2,65.5
New Orleans Pelicans,78,1337,15.3,0.9,1205,463,1028,45.0,48.2,11.7,14.1,10.7,2.8,43.3,41.4
Toronto Raptors,78,1366,15.5,0.87,1194,434,1087,39.9,44.5,10.5,11.9,9.4,2.0,40.1,17.2
Brooklyn Nets,78,1247,15.0,0.95,1189,427,961,44.4,49.7,12.2,13.9,10.9,3.1,42.8,82.8
Golden State Warriors,79,1240,13.8,0.95,1179,419,953,44.0,52.2,9.4,16.0,8.6,2.4,40.6,79.3
Sacramento Kings,78,1139,13.0,0.97,1110,414,851,48.6,53.3,11.9,15.5,10.2,2.2,45.7,89.7
Philadelphia 76ers,78,1206,14.5,0.9,1086,398,917,43.4,48.5,10.5,15.2,9.7,1.8,41.4,37.9
Denver Nuggets,78,1143,13.4,0.83,951,374,869,43.0,47.9,7.6,17.7,6.5,1.3,38.7,6.9
