Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,68,34,34,16445,3236,770,1611,47.8,365,429,85.1,1951,60.3,1130,34.9,309,9.5,196,6.1,215,6.6
Boston Celtics,68,47,21,16620,3201,729,1403,52.0,389,483,80.5,1909,59.6,1255,39.2,305,9.5,207,6.5,243,7.6
Brooklyn Nets,68,39,29,16370,2922,705,1374,51.3,349,418,83.5,1821,62.3,1087,37.2,266,9.1,190,6.5,209,7.2
Charlotte Hornets,70,22,48,16950,3600,765,1695,45.1,356,465,76.6,1943,54.0,1352,37.6,330,9.2,231,6.4,233,6.5
Chicago Bulls,66,30,36,15965,2761,643,1197,53.7,376,450,83.6,1715,62.1,1098,39.8,262,9.5,179,6.5,226,8.2
Cleveland Cavaliers,70,43,27,17000,3356,727,1457,49.9,356,441,80.7,1864,55.5,1363,40.6,412,12.3,208,6.2,221,6.6
Dallas Mavericks,68,34,34,16520,3045,749,1363,55.0,447,583,76.7,2023,66.4,1126,37.0,288,9.5,185,6.1,290,9.5
Denver Nuggets,68,46,22,16394,2408,516,1061,48.6,252,329,76.6,1315,54.6,934,38.8,273,11.3,181,7.5,163,6.8
Detroit Pistons,67,15,52,16205,3258,675,1467,46.0,456,577,79.0,1856,57.0,1164,35.7,324,9.9,228,7.0,290,8.9
Golden State Warriors,67,34,33,16230,2471,515,1021,50.4,256,311,82.3,1323,53.5,1054,42.7,264,10.7,176,7.1,156,6.3
Houston Rockets,67,15,52,16155,3413,721,1573,45.8,463,591,78.3,1969,57.7,1212,35.5,262,7.7,230,6.7,291,8.5
Indiana Pacers,68,31,37,16395,3656,750,1556,48.2,372,456,81.6,1933,52.9,1552,42.5,351,9.6,223,6.1,231,6.3
LA Clippers,69,36,33,16710,3103,699,1374,50.9,387,485,79.8,1835,59.1,1187,38.3,285,9.2,207,6.7,244,7.9
Los Angeles Lakers,68,33,35,16495,3082,623,1254,49.7,374,474,78.9,1687,54.7,1292,41.9,363,11.8,218,7.1,239,7.8
Memphis Grizzlies,66,40,26,15890,3060,818,1722,47.5,418,554,75.5,2116,69.2,805,26.3,256,8.4,191,6.2,276,9.0
Miami Heat,69,36,33,16685,3170,666,1337,49.8,373,443,84.2,1754,55.3,1339,42.2,283,8.9,189,6.0,221,7.0
Milwaukee Bucks,67,48,19,16230,2894,635,1211,52.4,357,490,72.9,1671,57.7,1135,39.2,271,9.4,220,7.6,246,8.5
Minnesota Timberwolves,68,34,34,16420,3268,828,1575,52.6,414,523,79.2,2133,65.3,1111,34.0,306,9.4,234,7.2,262,8.0
New Orleans Pelicans,68,33,35,16470,3281,718,1479,48.5,411,516,79.7,1901,57.9,1224,37.3,318,9.7,229,7.0,257,7.8
New York Knicks,70,40,30,17075,3924,866,1757,49.3,482,596,80.9,2298,58.6,1540,39.2,393,10.0,222,5.7,299,7.6
Oklahoma City Thunder,68,33,35,16495,4356,896,1887,47.5,532,648,82.1,2382,54.7,1751,40.2,397,9.1,269,6.2,324,7.4
Orlando Magic,68,28,40,16420,3266,801,1610,49.8,433,544,79.6,2088,63.9,1068,32.7,265,8.1,231,7.1,275,8.4
Philadelphia 76ers,67,45,22,16205,2898,648,1335,48.5,400,474,84.4,1754,60.5,1078,37.2,270,9.3,168,5.8,240,8.3
Phoenix Suns,67,37,30,16180,2812,593,1277,46.4,296,375,78.9,1521,54.1,1086,38.6,294,10.5,181,6.4,188,6.7
Portland Trail Blazers,68,31,37,16370,2795,688,1284,53.6,424,511,83.0,1853,66.3,987,35.3,238,8.5,201,7.2,256,9.2
Sacramento Kings,66,40,26,15965,3287,727,1330,54.7,489,603,81.1,2007,61.1,1333,40.6,344,10.5,230,7.0,304,9.2
San Antonio Spurs,66,17,49,15940,3386,773,1671,46.3,338,446,75.8,1943,57.4,1203,35.5,294,8.7,201,5.9,224,6.6
Toronto Raptors,68,32,36,16445,3129,614,1370,44.8,374,464,80.6,1645,52.6,1257,40.2,288,9.2,193,6.2,232,7.4
Utah Jazz,68,33,35,16420,3554,793,1553,51.1,419,519,80.7,2073,58.3,1335,37.6,380,10.7,285,8.0,259,7.3
Washington Wizards,68,31,37,16395,3021,753,1483,50.8,326,410,79.5,1891,62.6,1050,34.8,287,9.5,197,6.5,205,6.8
