PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year,PLAYER_ID,TEAM_ID
DeAndre Jordan,LAC,25.0,C,82,82,100.0,626,1375,45.5,47.9,-2.4,2014,,
Robin Lopez,POR,26.0,C,82,82,100.0,571,1315,43.4,47.8,-4.4,2014,,
Spencer Hawes,CLE,26.0,C,80,80,100.0,587,1285,45.7,47.3,-1.6,2014,,
Serge Ibaka,OKC,24.0,F-C,81,81,100.0,564,1270,44.4,47.1,-2.7,2014,,
Joakim Noah,CHI,29.0,C,80,80,100.0,529,1246,42.5,47.0,-4.6,2014,,
Marcin Gortat,WAS,30.0,C,80,80,100.0,575,1223,47.0,47.3,-0.3,2014,,
Kevin Love,MIN,25.0,F-C,77,77,100.0,586,1169,50.1,47.3,2.8,2014,,
Roy Hibbert,IND,27.0,C,81,81,100.0,474,1134,41.8,47.7,-5.9,2014,,
Paul Millsap,ATL,29.0,F,73,73,100.0,513,1094,46.9,46.3,0.6,2014,,
Andre Drummond,DET,20.0,C,81,81,100.0,520,1066,48.8,47.2,1.6,2014,,
Josh Smith,DET,28.0,F,77,77,100.0,476,1059,44.9,46.0,-1.1,2014,,
Chris Bosh,MIA,30.0,C-F,79,79,100.0,486,1052,46.2,46.9,-0.7,2014,,
Thaddeus Young,PHI,26.0,F,79,79,100.0,522,1044,50.0,45.7,4.3,2014,,
LaMarcus Aldridge,POR,28.0,F,69,69,100.0,491,1038,47.3,47.1,0.2,2014,,
Channing Frye,PHX,31.0,F-C,82,82,100.0,503,1038,48.5,46.8,1.6,2014,,
Greg Monroe,DET,24.0,F-C,82,82,100.0,504,1036,48.6,46.4,2.3,2014,,
Dirk Nowitzki,DAL,36.0,F,80,80,100.0,474,1011,46.9,46.8,0.0,2014,,
Blake Griffin,LAC,25.0,F,80,80,100.0,460,1007,45.7,46.9,-1.2,2014,,
Zach Randolph,MEM,32.0,F,78,78,100.0,494,998,49.5,47.7,1.8,2014,,
Al Jefferson,CHA,29.0,C,72,72,100.0,462,997,46.3,47.9,-1.5,2014,,
Paul George,IND,24.0,F-G,80,80,100.0,397,979,40.6,45.0,-4.4,2014,,
Terrence Jones,HOU,22.0,F,75,75,100.0,459,979,46.9,46.3,0.6,2014,,
Kemba Walker,CHA,24.0,G,72,72,100.0,408,979,41.7,43.4,-1.7,2014,,
Taj Gibson,CHI,29.0,F-C,82,82,100.0,405,972,41.7,45.9,-4.3,2014,,
Jonas Valanciunas,TOR,22.0,C,80,80,100.0,453,970,46.7,47.6,-0.9,2014,,
Tim Duncan,SAS,38.0,F,74,74,100.0,435,969,44.9,48.0,-3.1,2014,,
Derrick Favors,UTA,22.0,C-F,73,73,100.0,455,964,47.2,47.9,-0.7,2014,,
Nicolas Batum,POR,25.0,F,82,82,100.0,425,935,45.5,45.1,0.4,2014,,
Kevin Durant,OKC,25.0,F,81,81,100.0,369,926,39.8,45.1,-5.2,2014,,
Anthony Davis,NOP,21.0,F-C,66,66,100.0,393,921,42.7,46.4,-3.7,2014,,
Kyle Singler,DET,26.0,F,82,82,100.0,429,914,46.9,44.6,2.3,2014,,
Tristan Thompson,CLE,23.0,F,82,82,100.0,437,909,48.1,46.8,1.3,2014,,
Victor Oladipo,ORL,22.0,G,80,80,100.0,376,908,41.4,43.6,-2.2,2014,,
Damian Lillard,POR,23.0,G,82,82,100.0,398,905,44.0,44.2,-0.2,2014,,
Dwight Howard,HOU,28.0,C-F,71,71,100.0,411,904,45.5,47.4,-1.9,2014,,
DeMarcus Cousins,SAC,23.0,C,70,70,100.0,410,900,45.6,47.7,-2.2,2014,,
Miles Plumlee,PHX,25.0,C-F,80,80,100.0,425,899,47.3,48.4,-1.2,2014,,
Klay Thompson,GSW,24.0,G,80,80,100.0,367,897,40.9,44.5,-3.6,2014,,
Amir Johnson,TOR,27.0,F,76,76,100.0,411,894,46.0,46.7,-0.8,2014,,
James Harden,HOU,24.0,G,73,73,100.0,369,891,41.4,44.7,-3.3,2014,,
Ricky Rubio,MIN,23.0,G,82,82,100.0,424,891,47.6,44.2,3.4,2014,,
Enes Freedom,UTA,22.0,C,80,80,100.0,449,889,50.5,47.8,2.7,2014,,
Brandon Bass,BOS,29.0,F,82,82,100.0,398,887,44.9,46.2,-1.3,2014,,
Jared Sullinger,BOS,22.0,C-F,74,74,100.0,420,884,47.5,46.8,0.7,2014,,
Timofey Mozgov,DEN,27.0,C,82,82,100.0,394,883,44.6,47.6,-3.0,2014,,
David Lee,GSW,31.0,F,68,68,100.0,386,882,43.8,47.3,-3.5,2014,,
Pau Gasol,LAL,33.0,C-F,60,60,100.0,432,879,49.1,48.2,0.9,2014,,
Kenneth Faried,DEN,24.0,F,80,80,100.0,417,863,48.3,46.8,1.6,2014,,
Wesley Johnson,LAL,26.0,F,79,79,100.0,413,861,48.0,45.9,2.1,2014,,
Jeff Green,BOS,27.0,F,82,82,100.0,396,850,46.6,45.2,1.4,2014,,
Evan Turner,IND,25.0,F-G,81,81,100.0,419,848,49.4,44.4,5.0,2014,,
Monta Ellis,DAL,28.0,G,82,82,100.0,416,844,49.3,44.5,4.8,2014,,
Jeremy Lin,HOU,25.0,G,71,71,100.0,360,842,42.8,44.0,-1.3,2014,,
Jose Calderon,DAL,32.0,G,80,80,100.0,404,841,48.0,44.0,4.0,2014,,
George Hill,IND,28.0,G,76,76,100.0,360,839,42.9,44.1,-1.2,2014,,
Carmelo Anthony,NYK,30.0,F,77,77,100.0,364,831,43.8,45.0,-1.2,2014,,
Corey Brewer,MIN,28.0,F,81,81,100.0,372,829,44.9,44.5,0.3,2014,,
Kyle Lowry,TOR,28.0,G,77,77,100.0,360,824,43.7,43.9,-0.2,2014,,
Markieff Morris,PHX,24.0,F,81,81,100.0,389,823,47.3,46.3,0.9,2014,,
Chandler Parsons,HOU,25.0,F,74,74,100.0,355,817,43.5,44.9,-1.4,2014,,
Jodie Meeks,LAL,26.0,G,76,76,100.0,371,817,45.4,44.3,1.1,2014,,
Draymond Green,GSW,24.0,F,79,79,100.0,340,810,42.0,45.6,-3.6,2014,,
Wesley Matthews,POR,27.0,G,82,82,100.0,355,810,43.8,44.5,-0.7,2014,,
Shawn Marion,DAL,36.0,F,76,76,100.0,347,805,43.1,45.9,-2.8,2014,,
Bradley Beal,WAS,21.0,G,72,72,100.0,340,803,42.3,43.8,-1.5,2014,,
Josh McRoberts,CHA,27.0,F,77,77,100.0,382,801,47.7,46.4,1.3,2014,,
DeMarre Carroll,ATL,27.0,F,73,73,100.0,356,796,44.7,45.0,-0.3,2014,,
Khris Middleton,MIL,22.0,F,81,81,100.0,352,784,44.9,44.6,0.3,2014,,
Isaiah Thomas,SAC,25.0,G,71,71,100.0,335,783,42.8,43.6,-0.8,2014,,
JJ Hickson,DEN,25.0,C-F,69,69,100.0,372,781,47.6,47.1,0.6,2014,,
Jimmy Butler,CHI,24.0,G-F,67,67,100.0,322,779,41.3,44.7,-3.4,2014,,
Kyrie Irving,CLE,22.0,G,71,71,100.0,335,768,43.6,43.3,0.3,2014,,
John Wall,WAS,23.0,G,81,81,100.0,358,767,46.7,43.5,3.2,2014,,
Mike Conley,MEM,26.0,G,73,73,100.0,336,764,44.0,44.2,-0.2,2014,,
Boris Diaw,SAS,32.0,F,79,79,100.0,342,759,45.1,46.1,-1.0,2014,,
Alec Burks,UTA,22.0,G,78,78,100.0,364,758,48.0,44.2,3.9,2014,,
David West,IND,33.0,F,80,80,100.0,314,757,41.5,46.3,-4.9,2014,,
Andrew Bogut,GSW,29.0,C,66,66,100.0,329,752,43.8,47.9,-4.2,2014,,
Reggie Jackson,OKC,24.0,G,80,80,100.0,336,747,45.0,43.9,1.1,2014,,
Stephen Curry,GSW,26.0,G,77,77,100.0,314,746,42.1,44.2,-2.1,2014,,
Brandon Jennings,DET,24.0,G,79,79,100.0,339,742,45.7,43.2,2.5,2014,,
Randy Foye,DEN,30.0,G,81,81,100.0,341,740,46.1,44.5,1.6,2014,,
Jason Thompson,SAC,27.0,F-C,81,81,100.0,349,739,47.2,47.5,-0.3,2014,,
Jarrett Jack,CLE,30.0,G,80,80,100.0,310,731,42.4,43.3,-0.9,2014,,
LeBron James,MIA,29.0,F,77,77,100.0,317,731,43.4,44.9,-1.5,2014,,
Shane Battier,MIA,35.0,F,72,72,100.0,350,730,47.9,45.9,2.0,2014,,
Luol Deng,CLE,29.0,F,63,63,100.0,333,729,45.7,44.9,0.7,2014,,
Terrence Ross,TOR,23.0,F,80,80,100.0,316,729,43.3,44.5,-1.2,2014,,
Tobias Harris,ORL,21.0,F,61,61,100.0,336,726,46.3,45.0,1.3,2014,,
Brandon Knight,MIL,22.0,G,71,71,100.0,336,726,46.3,43.8,2.5,2014,,
Lance Stephenson,IND,23.0,G,78,78,100.0,296,724,40.9,44.2,-3.3,2014,,
Gerald Green,PHX,28.0,G-F,82,82,100.0,300,723,41.5,44.3,-2.8,2014,,
Nikola Vucevic,ORL,23.0,C,57,57,100.0,355,721,49.2,47.9,1.3,2014,,
John Henson,MIL,23.0,C-F,69,69,100.0,337,720,46.8,46.4,0.4,2014,,
James Anderson,PHI,25.0,G-F,80,80,100.0,337,719,46.9,44.4,2.5,2014,,
Rudy Gay,SAC,27.0,F,72,72,100.0,322,712,45.2,45.6,-0.3,2014,,
Paul Pierce,BKN,36.0,F,74,74,100.0,332,711,46.7,45.8,0.9,2014,,
Jordan Hill,LAL,26.0,F-C,72,72,100.0,336,709,47.4,46.8,0.6,2014,,
Mike Dunleavy,CHI,33.0,F,82,82,100.0,291,704,41.3,44.1,-2.8,2014,,
Ben McLemore,SAC,21.0,G,81,81,100.0,346,701,49.4,44.6,4.8,2014,,
Tyson Chandler,NYK,31.0,C,54,54,100.0,326,700,46.6,46.6,0.0,2014,,
Dante Cunningham,MIN,27.0,F,81,81,100.0,334,696,48.0,45.4,2.6,2014,,
Goran Dragic,PHX,28.0,G,76,76,100.0,313,695,45.0,43.9,1.2,2014,,
Darren Collison,LAC,26.0,G,80,80,100.0,305,693,44.0,43.7,0.3,2014,,
Al-Farouq Aminu,NOP,23.0,F,80,80,100.0,341,693,49.2,46.0,3.2,2014,,
Arron Afflalo,ORL,28.0,G-F,73,73,100.0,338,693,48.8,44.2,4.5,2014,,
DeMar DeRozan,TOR,24.0,G,78,78,100.0,303,691,43.8,44.6,-0.7,2014,,
Gerald Henderson,CHA,26.0,G,76,76,100.0,288,690,41.7,44.7,-3.0,2014,,
Glen Davis,LAC,28.0,F-C,68,68,100.0,317,690,45.9,46.8,-0.8,2014,,
Richard Jefferson,UTA,34.0,F,82,82,100.0,340,689,49.3,45.1,4.2,2014,,
Michael Carter-Williams,PHI,22.0,G,70,70,100.0,314,686,45.8,43.7,2.1,2014,,
Kirk Hinrich,CHI,33.0,G,73,73,100.0,291,686,42.4,43.8,-1.4,2014,,
Wilson Chandler,DEN,27.0,F,62,62,100.0,294,685,42.9,45.9,-2.9,2014,,
P.J. Tucker,PHX,29.0,F-G,81,81,100.0,301,685,43.9,45.2,-1.3,2014,,
Kyle Korver,ATL,33.0,G-F,70,70,100.0,311,683,45.5,44.0,1.6,2014,,
Trevor Ariza,WAS,28.0,F,76,76,100.0,308,682,45.2,44.7,0.5,2014,,
Jeff Teague,ATL,26.0,G,78,78,100.0,289,679,42.6,43.3,-0.8,2014,,
Gordon Hayward,UTA,24.0,G-F,77,77,100.0,295,676,43.6,44.6,-1.0,2014,,
Nikola Pekovic,MIN,28.0,C,54,54,100.0,333,674,49.4,47.9,1.5,2014,,
Marc Gasol,MEM,29.0,C,58,58,100.0,311,669,46.5,48.0,-1.5,2014,,
Danny Green,SAS,27.0,G-F,68,68,100.0,289,668,43.3,45.0,-1.7,2014,,
Tyreke Evans,NOP,24.0,F-G,72,72,100.0,300,666,45.0,44.4,0.7,2014,,
Marcus Morris Sr.,PHX,24.0,F,82,82,100.0,306,656,46.6,44.2,2.5,2014,,
Vince Carter,DAL,37.0,G-F,81,81,100.0,279,654,42.7,45.1,-2.4,2014,,
Jared Dudley,LAC,28.0,F,73,73,100.0,283,650,43.5,44.9,-1.4,2014,,
Tony Parker,SAS,32.0,G,67,67,100.0,297,649,45.8,43.6,2.2,2014,,
Matt Barnes,LAC,34.0,F,63,63,100.0,275,648,42.4,45.2,-2.7,2014,,
Kris Humphries,BOS,29.0,C-F,68,68,100.0,288,647,44.5,46.3,-1.8,2014,,
Harrison Barnes,GSW,22.0,F,77,77,100.0,300,645,46.5,44.5,2.0,2014,,
Dion Waiters,CLE,22.0,G,70,70,100.0,277,645,42.9,44.0,-1.0,2014,,
Carlos Boozer,CHI,32.0,F,76,76,100.0,310,639,48.5,47.0,1.5,2014,,
Deron Williams,BKN,30.0,G,64,64,100.0,271,638,42.5,43.0,-0.5,2014,,
Anderson Varejao,CLE,31.0,C,65,65,100.0,290,636,45.6,46.6,-1.0,2014,,
Trey Burke,UTA,21.0,G,70,70,100.0,290,635,45.7,43.9,1.8,2014,,
Maurice Harkless,ORL,21.0,F,80,80,100.0,276,633,43.6,44.4,-0.8,2014,,
Kelly Olynyk,BOS,23.0,C-F,70,70,100.0,304,633,48.0,46.4,1.6,2014,,
Joe Johnson,BKN,33.0,G,78,78,100.0,288,633,45.5,44.1,1.4,2014,,
Mario Chalmers,MIA,28.0,G,73,73,100.0,278,631,44.1,43.9,0.1,2014,,
Andre Iguodala,GSW,30.0,F-G,63,63,100.0,285,629,45.3,44.9,0.4,2014,,
Raymond Felton,NYK,30.0,G,65,65,100.0,272,625,43.5,43.7,-0.2,2014,,
Kawhi Leonard,SAS,23.0,F-G,66,66,100.0,246,623,39.5,45.2,-5.7,2014,,
Samuel Dalembert,DAL,34.0,C,80,80,100.0,293,621,47.2,48.4,-1.3,2014,,
Marvin Williams,UTA,28.0,F,66,66,100.0,289,619,46.7,46.4,0.3,2014,,
Jameer Nelson,ORL,32.0,G,68,68,100.0,286,616,46.4,43.7,2.8,2014,,
Andray Blatche,BKN,27.0,C-F,72,72,100.0,308,616,50.0,46.3,3.7,2014,,
Nene,WAS,31.0,F-C,53,53,100.0,288,614,46.9,46.1,0.8,2014,,
Giannis Antetokounmpo,MIL,19.0,G-F,75,75,100.0,259,612,42.3,44.4,-2.1,2014,,
Ramon Sessions,MIL,28.0,G,83,83,100.0,275,605,45.5,42.9,2.5,2014,,
Shaun Livingston,BKN,28.0,G,75,75,100.0,241,598,40.3,43.9,-3.6,2014,,
Ryan Kelly,LAL,23.0,F,57,57,100.0,283,598,47.3,45.7,1.6,2014,,
