player,salary,team,year,url,bref_id,nba_id
Duane Ferrell,125000.0,ATL,1991,https://www.basketball-reference.com/players/f/ferredu01.html,ferredu01,273.0
Gary Leonard,200000.0,ATL,1991,https://www.basketball-reference.com/players/l/leonaga01.html,leonaga01,77370.0
Sidney Moncrief,510000.0,ATL,1991,https://www.basketball-reference.com/players/m/moncrsi01.html,moncrsi01,77626.0
Spud Webb,510000.0,ATL,1991,https://www.basketball-reference.com/players/w/webbsp01.html,webbsp01,892.0
John Battle,590000.0,ATL,1991,https://www.basketball-reference.com/players/b/battljo01.html,battljo01,174.0
Kevin Willis,685000.0,ATL,1991,https://www.basketball-reference.com/players/w/willike02.html,willike02,788.0
Tim McCormick,775000.0,ATL,1991,https://www.basketball-reference.com/players/m/mccorti01.html,mccorti01,77516.0
Rumeal Robinson,800000.0,ATL,1991,https://www.basketball-reference.com/players/r/robinru01.html,robinru01,716.0
Doc Rivers,895000.0,ATL,1991,https://www.basketball-reference.com/players/r/riverdo01.html,riverdo01,470.0
Jon Koncak,1550000.0,ATL,1991,https://www.basketball-reference.com/players/k/koncajo01.html,koncajo01,402.0
Dominique Wilkins,2065000.0,ATL,1991,https://www.basketball-reference.com/players/w/wilkido01.html,wilkido01,1122.0
Moses Malone,2406000.0,ATL,1991,https://www.basketball-reference.com/players/m/malonmo01.html,malonmo01,77449.0
Paul Graham,125000.0,ATL,1992,https://www.basketball-reference.com/players/g/grahapa01.html,grahapa01,76842.0
Gary Leonard,130000.0,ATL,1992,https://www.basketball-reference.com/players/l/leonaga01.html,leonaga01,77370.0
Rodney Monroe,217000.0,ATL,1992,https://www.basketball-reference.com/players/m/monroro01.html,monroro01,77628.0
Duane Ferrell,500000.0,ATL,1992,https://www.basketball-reference.com/players/f/ferredu01.html,ferredu01,273.0
Alexander Volkov,675000.0,ATL,1992,https://www.basketball-reference.com/players/v/volkoal01.html,volkoal01,78421.0
Kevin Willis,725000.0,ATL,1992,https://www.basketball-reference.com/players/w/willike02.html,willike02,788.0
Stacey Augmon,875000.0,ATL,1992,https://www.basketball-reference.com/players/a/augmost01.html,augmost01,278.0
