Player,TS%,PTS,MP,Tm,G,year
Kareem Abdul-Jabbar*,58.19695259593679,33.0,758.0,MIL,16,1974
Don Adams,40.30194472876151,12.6,256.0,DET,7,1974
Rick Adelman*,50.0,17.8,108.0,CHI,9,1974
Dennis Awtrey,46.24163715072805,9.4,158.0,CHI,10,1974
Henry Bibby,41.84941520467836,22.9,89.0,NYK,10,1974
Dave Bing*,45.88144063415474,21.3,312.0,DET,7,1974
Tom Boerwinkle,52.99158147925437,14.1,7.0,CHI,2,1974
Bill Bradley*,43.98527004909983,17.2,425.0,NYK,12,1974
Bill Bridges,32.230196703880914,9.7,144.0,LAL,5,1974
Don Chaney,52.53001715265866,14.7,545.0,BOS,18,1974
Ken Charles,75.14450867052022,26.0,10.0,BUF,2,1974
Phil Chenier,51.328502415458935,25.5,310.0,CAP,7,1974
Archie Clark,37.56895567814343,15.8,162.0,CAP,7,1974
Mel Counts,50.0,16.4,34.0,LAL,4,1974
Dave Cowens*,46.69779853235491,22.4,772.0,BOS,18,1974
Bob Dandridge*,51.93345323741008,23.1,648.0,MIL,16,1974
Jim Davis,59.98989643849457,19.0,69.0,DET,7,1974
Mel Davis,50.0,48.5,12.0,NYK,4,1974
Mickey Davis,56.95443645083933,17.1,245.0,MIL,15,1974
Dave DeBusschere*,40.34514925373135,17.3,404.0,NYK,12,1974
Ernie DiGregorio,45.66773636139224,14.8,240.0,BUF,6,1974
Steve Downing,50.0,23.4,4.0,BOS,1,1974
Terry Driscoll,54.93003935286402,20.1,29.0,MIL,9,1974
Hank Finkel,46.15795090715047,17.3,46.0,BOS,8,1974
Chris Ford,50.91358964598401,10.7,94.0,DET,5,1974
Walt Frazier*,54.70549522869366,26.6,491.0,NYK,12,1974
Dick Garrett,34.061418685121104,6.3,46.0,MIL,8,1974
Rowland Garrett,0.0,0.0,6.0,CHI,2,1974
John Gianelli,45.37597234226448,12.6,338.0,NYK,12,1974
Gail Goodrich*,46.75810473815461,24.0,189.0,LAL,5,1974
Matt Guokas,57.19339622641508,9.7,85.0,BUF,6,1974
Happy Hairston,52.29419703103913,12.4,172.0,LAL,5,1974
Phil Hankinson,61.584991671780486,56.2,5.0,BOS,2,1974
John Havlicek*,53.519731829955816,28.1,811.0,BOS,18,1974
Connie Hawkins*,40.645879732739424,14.6,172.0,LAL,5,1974
Nate Hawthorne,32.61867296092316,19.9,14.0,LAL,3,1974
Elvin Hayes*,56.36392708666453,28.2,323.0,CAP,7,1974
Gar Heard,49.21046939216958,18.2,240.0,BUF,6,1974
Phil Jackson*,52.24164133738603,22.0,297.0,NYK,12,1974
Bob Kauffman,25.84977418588068,8.7,10.0,BUF,2,1974
Ben Kelso,0.0,0.0,1.0,DET,1,1974
Tom Kozelko,77.49221183800623,19.9,58.0,CAP,7,1974
Steve Kuberski,25.510204081632647,10.2,69.0,BOS,9,1974
Bob Lanier*,54.502707324023945,30.6,303.0,DET,7,1974
Stu Lantz,57.32248520710059,18.6,227.0,DET,7,1974
Manny Leaks,50.0,20.1,5.0,CAP,2,1974
Russ Lee,56.28921270997774,44.5,12.0,MIL,6,1974
Bob Love,44.6927374301676,25.6,489.0,CHI,11,1974
Stan Love,69.22043010752688,30.9,9.0,LAL,2,1974
Jerry Lucas*,23.863636363636363,4.2,115.0,NYK,11,1974
Jack Marin,49.97803163444639,18.2,121.0,BUF,6,1974
Bob McAdoo*,52.78745644599303,30.3,271.0,BUF,6,1974
Jon McGlocklin,50.87553241836251,17.2,333.0,MIL,14,1974
Jim McMillian,43.83218534752661,16.8,224.0,BUF,6,1974
Dean Meminger,33.27608415629026,6.2,179.0,NYK,12,1974
John Mengelt,48.603746907034285,22.0,39.0,DET,4,1974
Earl Monroe*,55.431878895814776,24.9,407.0,NYK,12,1974
Don Nelson*,54.71919709587871,20.5,467.0,BOS,18,1974
Willie Norwood,70.32755298651253,29.2,31.0,DET,5,1974
Curtis Perry,51.00125156445557,16.3,296.0,MIL,16,1974
Howard Porter,33.13253012048193,19.8,150.0,CHI,11,1974
Kevin Porter,41.0918071878726,19.3,195.0,CAP,7,1974
Jim Price,41.206127593562144,17.0,161.0,LAL,5,1974
Clifford Ray,49.39106901217861,14.6,362.0,CHI,11,1974
Willis Reed*,39.32454314133703,13.6,132.0,NYK,11,1974
Pat Riley*,37.751677852349,17.1,106.0,LAL,5,1974
Mike Riordan,45.71106094808127,16.2,267.0,CAP,7,1974
Oscar Robertson*,50.22889114954222,15.8,689.0,MIL,16,1974
Curtis Rowe,50.48911328494794,12.8,229.0,DET,7,1974
Paul Silas,47.982283464566926,11.7,574.0,BOS,18,1974
Jerry Sloan*,49.66248794599807,20.6,240.0,CHI,6,1974
Elmore Smith,50.14658231754359,26.0,171.0,LAL,5,1974
Randy Smith,42.920729122509535,16.2,227.0,BUF,6,1974
George Trapp,59.67565597667638,26.2,119.0,DET,7,1974
Wes Unseld*,50.84745762711865,12.0,297.0,CAP,7,1974
Norm Van Lier,48.85714285714286,17.1,466.0,CHI,11,1974
Chet Walker*,59.32346011443958,28.2,403.0,CHI,11,1974
Cornell Warner,44.81378350156631,10.3,505.0,MIL,16,1974
Kermit Washington,53.31702711980777,49.7,14.0,LAL,3,1974
Nick Weatherspoon,47.24666014988596,11.6,87.0,CAP,7,1974
Bob Weiss,33.712321523003695,10.2,251.0,CHI,11,1974
Walt Wesley,,0.0,1.0,CAP,1,1974
Jerry West*,22.147651006711406,13.2,14.0,LAL,1,1974
Paul Westphal*,48.36525440123816,20.0,241.0,BOS,18,1974
Jo Jo White*,44.97825227362594,18.2,765.0,BOS,18,1974
Art Williams,44.24778761061947,13.2,96.0,BOS,12,1974
Ron Williams,49.75402504472272,17.8,354.0,MIL,15,1974
Lee Winfield,17.36111111111111,3.6,12.0,BUF,1,1974
Harthorne Wingo,54.5045045045045,36.3,16.0,NYK,5,1974
Zaid Abdul-Aziz,39.26127390770311,17.9,68.0,HOU,6,1975
Rick Adelman*,48.05567830313743,17.4,34.0,KCO,6,1975
Tiny Archibald*,44.200086244070725,24.6,242.0,KCO,6,1975
Jim Ard,12.595419847328245,6.6,14.0,BOS,5,1975
Gus Bailey,55.96555965559655,18.2,116.0,HOU,8,1975
Jim Barnett,66.73994974874373,25.5,59.0,NYK,3,1975
Rick Barry*,50.452103263006165,30.8,726.0,GSW,17,1975
Butch Beard,45.40295119182748,16.0,448.0,GSW,17,1975
Ron Behagen,52.92837356549267,21.4,108.0,KCO,6,1975
Dennis Bell,9.803921568627452,3.6,27.0,NYK,3,1975
Leon Benbow,51.177498543729726,49.2,5.0,CHI,2,1975
Dave Bing*,45.626179987413465,17.4,134.0,DET,3,1975
John Block,39.84401492031198,18.8,34.0,CHI,4,1975
Tom Boerwinkle,48.4142576480494,13.8,377.0,CHI,13,1975
Steve Bracey,57.114434687156965,33.3,14.0,GSW,4,1975
Bill Bradley*,40.19292604501608,11.0,88.0,NYK,3,1975
Bill Bridges,42.238001958863855,6.9,148.0,GSW,14,1975
Fred Brown,53.96792763157895,31.5,240.0,SEA,8,1975
Tom Burleson,54.92957746478873,23.4,364.0,SEA,9,1975
Don Chaney,50.59847660500545,18.6,294.0,BOS,11,1975
Ken Charles,43.326238978412896,11.4,208.0,BUF,7,1975
Phil Chenier,54.18326693227091,27.2,692.0,WSB,17,1975
Archie Clark,48.58253315043439,17.0,269.0,SEA,9,1975
Dave Cowens*,45.358649789029535,21.5,479.0,BOS,11,1975
Mike D'Antoni,57.12583928958198,21.1,42.0,KCO,4,1975
Jesse Dark,42.70315091210614,30.9,11.0,NYK,2,1975
Jim Davis,56.685118160528006,21.3,16.0,DET,2,1975
Mel Davis,46.55326768128917,20.8,28.0,NYK,3,1975
Rod Derline,58.333333333333336,30.1,64.0,SEA,6,1975
Derrek Dickey,60.41612819850091,18.7,257.0,GSW,15,1975
Charles Dudley,49.51148666490626,15.0,112.0,GSW,13,1975
Dennis DuVal,35.49287042777433,22.9,14.0,WSB,5,1975
Hank Finkel,48.96723646723647,16.5,25.0,BOS,7,1975
Chris Ford,54.61538461538461,7.1,82.0,DET,3,1975
Jim Fox,35.092213114754095,13.7,40.0,SEA,8,1975
Walt Frazier*,66.91700365877143,27.8,124.0,NYK,3,1975
Rowland Garrett,37.90921871861819,15.1,143.0,CHI,12,1975
John Gianelli,49.22750681611633,13.0,93.0,NYK,3,1975
Dick Gibbs,36.71949719907091,21.5,17.0,WSB,6,1975
Leonard Gray,51.97156652360515,15.5,263.0,SEA,9,1975
Matt Guokas,40.70265638389032,7.6,202.0,CHI,13,1975
Phil Hankinson,33.333333333333336,30.6,3.0,BOS,2,1975
Clem Haskins,55.30743664312422,21.3,75.0,WSB,13,1975
John Havlicek*,51.345291479820624,22.9,464.0,BOS,11,1975
Steve Hawes,52.436164669098495,16.1,128.0,HOU,8,1975
Elvin Hayes*,50.59797608095676,26.4,751.0,WSB,17,1975
Spencer Haywood*,44.751072161103856,19.2,337.0,SEA,9,1975
Gar Heard,40.2274190087964,15.0,250.0,BUF,7,1975
John Hummer,0.0,0.0,68.0,SEA,6,1975
Phil Jackson*,54.90196078431373,16.8,78.0,NYK,3,1975
Charles Johnson,43.98231685312162,19.5,508.0,GSW,17,1975
George Johnson,58.6295346280689,12.8,321.0,GSW,17,1975
Mickey Johnson,33.389830508474574,19.7,5.0,CHI,3,1975
Ollie Johnson,52.24373075230972,19.0,166.0,KCO,6,1975
Jimmy Jones,49.48872574724698,15.1,206.0,WSB,11,1975
Don Kojis,40.68200663349917,15.7,22.0,KCO,4,1975
Len Kosmalski,69.44444444444444,10.2,29.0,KCO,6,1975
Tom Kozelko,53.37280229637602,11.9,54.0,WSB,13,1975
Kevin Kunnert,47.175141242937855,16.7,244.0,HOU,8,1975
Sam Lacey,41.09801488833747,10.6,264.0,KCO,6,1975
Bob Lanier*,54.14488424197162,23.2,128.0,DET,3,1975
Bill Ligon,100.72463768115942,13.9,7.0,DET,2,1975
Bob Love,48.03788903924222,28.4,583.0,CHI,13,1975
Jack Marin,55.03810330228619,15.6,108.0,BUF,7,1975
Bob McAdoo*,52.76396438071007,36.5,327.0,BUF,7,1975
Glenn McDonald,18.697106868726625,7.6,30.0,BOS,6,1975
Jim McMillian,49.46248856358647,17.3,240.0,BUF,7,1975
Larry McNeill,71.23971797884842,29.1,103.0,KCO,6,1975
John Mengelt,46.40659122493548,18.7,65.0,DET,3,1975
Earl Monroe*,38.44862323707186,22.9,89.0,NYK,3,1975
Jeff Mullins,50.67900019681165,20.6,313.0,GSW,17,1975
Calvin Murphy*,53.916618580496255,29.9,305.0,HOU,8,1975
Don Nelson*,62.51104435412616,28.3,274.0,BOS,11,1975
Mike Newlin,54.33618843683084,20.3,299.0,HOU,8,1975
Howard Porter,57.70522074869901,27.5,92.0,DET,3,1975
Kevin Porter,53.9156626506024,17.9,625.0,WSB,17,1975
Ed Ratleff,46.40446521287643,14.3,291.0,HOU,8,1975
Clifford Ray,56.32183908045978,9.8,495.0,GSW,17,1975
Tom Riker,50.0,12.1,8.0,NYK,1,1975
Ron Riley,57.12008501594048,17.2,152.0,HOU,8,1975
Mike Riordan,42.03861324475815,16.2,378.0,WSB,17,1975
Truck Robinson,36.270346779900926,12.3,130.0,WSB,17,1975
Curtis Rowe,53.38691159586681,18.6,115.0,DET,3,1975
Paul Ruffner,0.0,0.0,4.0,BUF,1,1975
Dale Schlueter,57.38213399503722,14.8,40.0,BUF,6,1975
Paul Silas,48.57290233837689,11.3,405.0,BOS,11,1975
Tal Skinner,52.5680799724233,12.2,211.0,SEA,9,1975
Jerry Sloan*,47.41103771574686,17.8,470.0,CHI,13,1975
Phil Smith,42.36584150191061,20.4,235.0,GSW,16,1975
Randy Smith,53.42334679991496,20.1,286.0,BUF,7,1975
Kevin Stacom,0.0,0.0,7.0,BOS,4,1975
Nate Thurmond*,42.10825132475397,8.9,254.0,CHI,13,1975
Dean Tolson,22.374379987060603,8.3,22.0,SEA,4,1975
Rudy Tomjanovich*,61.6396584770866,28.3,304.0,HOU,8,1975
George Trapp,56.81818181818182,24.6,81.0,DET,3,1975
Wes Unseld*,57.81825624232502,11.3,734.0,WSB,17,1975
Norm Van Lier,48.61878453038674,17.6,547.0,CHI,13,1975
Neal Walk,50.0,12.4,39.0,NYK,3,1975
Chet Walker*,57.93226381461676,26.0,432.0,CHI,13,1975
Jimmy Walker,49.96023066215948,20.1,225.0,KCO,6,1975
Jim Washington,40.51724137931035,4.7,39.0,BUF,6,1975
Slick Watts,47.79324994099599,16.2,282.0,SEA,9,1975
Nick Weatherspoon,56.39097744360903,19.8,404.0,WSB,17,1975
Scott Wedman,43.47557967439565,14.1,230.0,KCO,6,1975
Bob Weiss,53.01437083771469,12.1,113.0,BUF,7,1975
Owen Wells,59.935897435897445,56.1,5.0,HOU,4,1975
Paul Westphal*,49.596050269299816,22.1,183.0,BOS,11,1975
Jo Jo White*,46.96893787575151,22.5,462.0,BOS,11,1975
Jamaal Wilkes*,47.132129733184215,23.6,503.0,GSW,17,1975
Bobby Wilson,47.60542661000328,23.3,93.0,CHI,10,1975
Lee Winfield,46.70329670329671,11.9,65.0,BUF,6,1975
Harthorne Wingo,49.09796757250514,17.2,76.0,NYK,3,1975
Dave Wohl,100.28571428571428,35.1,8.0,HOU,4,1975
Zaid Abdul-Aziz,72.52559726962457,27.2,60.0,SEA,5,1976
Alvan Adams,50.29104605375792,23.5,668.0,PHO,19,1976
Don Adams,46.12045577862181,13.6,122.0,BUF,9,1976
Jerome Anderson,33.274647887323944,18.9,5.0,BOS,4,1976
Jim Ard,52.50990752972259,15.9,110.0,BOS,16,1976
Dennis Awtrey,50.35669324381033,9.6,286.0,PHO,19,1976
Mike Bantom,62.03007518796993,23.1,114.0,SEA,6,1976
Rick Barry*,48.9201333526598,27.0,532.0,GSW,13,1976
Dave Bing*,52.63883780801765,22.9,209.0,WSB,7,1976
Tom Boswell,50.0,31.5,3.0,BOS,3,1976
Jim Brewer,46.56390494540783,11.6,489.0,CLE,13,1976
Junior Bridgeman,50.29585798816568,17.0,67.0,MIL,3,1976
Gary Brokaw,70.20692567567568,26.6,108.0,MIL,3,1976
Fred Brown,56.066802999318334,32.9,236.0,SEA,6,1976
Roger Brown,46.46840148698885,9.0,51.0,DET,9,1976
Joe Bryant,76.25994694960212,25.3,43.0,PHI,3,1976
Tom Burleson,65.62500000000001,27.3,208.0,SEA,6,1976
Austin Carr,50.17079419299744,28.2,273.0,CLE,13,1976
Fred Carter,52.358615221987314,31.7,125.0,PHI,3,1976
Harvey Catchings,58.94413121476166,9.2,87.0,PHI,3,1976
Ken Charles,43.64406779661017,10.3,238.0,BUF,9,1976
Phil Chenier,46.63885390428212,23.7,265.0,WSB,7,1976
Jim Chones,43.17892390958293,21.7,242.0,CLE,7,1976
Archie Clark,51.22214234363768,17.1,192.0,DET,9,1976
Jim Cleamons,44.366899302093714,17.8,503.0,CLE,13,1976
Doug Collins,48.93759411075791,23.4,117.0,PHI,3,1976
Dave Cowens*,49.804340092493774,22.4,798.0,BOS,18,1976
Bob Dandridge*,56.94444444444444,24.6,122.0,MIL,3,1976
Dwight Davis,53.55725998413119,16.2,142.0,GSW,11,1976
Rod Derline,27.34504474643686,6.6,41.0,SEA,4,1976
Henry Dickerson,45.53915702699109,27.4,15.0,DET,5,1976
Derrek Dickey,54.65367965367965,20.2,173.0,GSW,12,1976
Ernie DiGregorio,51.6203039862346,14.4,217.0,BUF,9,1976
Charles Dudley,62.835915270313,15.9,260.0,GSW,13,1976
Al Eberhard,50.78912021490933,12.1,182.0,DET,8,1976
Leroy Ellis,,0.0,1.0,PHI,1,1976
Keith Erickson,52.939028842643296,23.2,426.0,PHO,19,1976
Chris Ford,44.48275862068966,12.9,276.0,DET,9,1976
Jim Fox,84.84997540580423,13.8,33.0,MIL,3,1976
World B. Free,47.55222949797318,24.4,62.0,PHI,3,1976
Rowland Garrett,56.81818181818181,20.0,5.0,CLE,4,1976
Dick Gibbs,50.60728744939272,20.0,23.0,BUF,5,1976
Herm Gilliam,28.04087736789632,9.0,86.0,SEA,6,1976
Kevin Grevey,50.0,33.2,3.0,WSB,2,1976
Clem Haskins,47.523241293187176,27.4,40.0,WSB,5,1976
John Havlicek*,49.10809088978552,18.5,505.0,BOS,15,1976
Bubbles Hawkins,84.77952895342659,38.3,12.0,GSW,5,1976
Nate Hawthorne,42.2181652213601,14.8,81.0,PHO,15,1976
Elvin Hayes*,47.98826487845767,22.9,305.0,WSB,7,1976
Gar Heard,48.31884720951509,16.9,721.0,PHO,19,1976
John Hummer,66.47058823529413,11.3,16.0,SEA,3,1976
Charles Johnson,44.16317610635584,19.4,284.0,GSW,13,1976
George Johnson,61.17604090577064,13.4,261.0,GSW,13,1976
Jimmy Jones,57.1096994869289,18.7,165.0,WSB,7,1976
Wali Jones,,0.0,2.0,PHI,1,1976
Tom Kozelko,52.79595478881618,7.1,14.0,WSB,5,1976
Tom Kropp,100.0,49.8,2.0,WSB,1,1976
Steve Kuberski,52.570093457943926,19.8,232.0,BOS,18,1976
John Lambert,43.18806438947782,17.6,34.0,CLE,6,1976
Bob Lanier*,60.487133840427255,29.9,359.0,DET,9,1976
Clyde Lee,77.85251619332337,12.5,53.0,PHI,3,1976
Phil Lumpkin,43.14595660749507,10.5,136.0,PHO,17,1976
Clyde Mayes,37.15498938428875,5.6,41.0,MIL,3,1976
Bob McAdoo*,50.18952688473959,28.6,406.0,BUF,9,1976
Glenn McDonald,36.59514738319631,14.6,68.0,BOS,13,1976
George McGinnis*,50.14009733077718,27.2,120.0,PHI,3,1976
Jon McGlocklin,75.0,21.0,13.0,MIL,2,1976
Tom McMillen,50.0,30.7,3.0,BUF,1,1976
Jim McMillian,53.10880829015544,20.5,348.0,BUF,9,1976
John Mengelt,64.04356496395152,33.4,119.0,DET,9,1976
Dave Meyers,64.77680861980501,20.2,54.0,MIL,3,1976
Steve Mix,43.68658399098084,15.5,134.0,PHI,3,1976
Eric Money,49.373040752351095,18.9,273.0,DET,9,1976
Jeff Mullins,37.4439461883408,16.7,33.0,GSW,8,1976
Don Nelson*,59.20292645360031,24.6,315.0,BOS,18,1976
Connie Norman,100.1059322033898,94.5,1.0,PHI,1,1976
Willie Norwood,44.69434832756632,12.4,215.0,SEA,6,1976
Curtis Perry,48.80284728213978,18.1,615.0,PHO,19,1976
Howard Porter,56.06683345246605,25.1,213.0,DET,9,1976
Jim Price,45.12635379061372,24.0,19.0,MIL,1,1976
Clifford Ray,63.135741844966674,14.4,377.0,GSW,13,1976
Kevin Restani,20.28985507246377,2.8,33.0,MIL,3,1976
Pat Riley*,42.09844559585492,22.1,27.0,PHO,5,1976
Mike Riordan,37.49999999999999,9.6,31.0,WSB,6,1976
Truck Robinson,53.15336837075968,17.8,137.0,WSB,7,1976
Curtis Rowe,53.357314148681056,17.8,346.0,DET,9,1976
Campy Russell,47.879131791743504,27.0,328.0,CLE,13,1976
Dale Schlueter,77.93884034948371,15.7,44.0,BUF,8,1976
Charlie Scott*,43.90057685782151,20.7,632.0,BOS,18,1976
Bruce Seals,49.09365558912387,19.5,181.0,SEA,6,1976
John Shumate,58.64465682015639,16.2,362.0,BUF,9,1976
Paul Silas,52.82890252215405,12.4,741.0,BOS,18,1976
Tal Skinner,45.9727841118058,10.0,86.0,SEA,6,1976
Bingo Smith,46.850598646538266,21.6,379.0,CLE,13,1976
Elmore Smith,60.89096415951539,19.3,104.0,MIL,3,1976
Phil Smith,55.62777183055514,29.1,493.0,GSW,13,1976
Randy Smith,55.51477335290878,24.2,386.0,BUF,9,1976
Dick Snyder,47.93906810035842,21.4,364.0,CLE,13,1976
Ricky Sobers,52.946110295659466,20.2,563.0,PHO,19,1976
Kevin Stacom,33.91793514228987,8.2,195.0,BOS,17,1976
Terry Thomas,0.0,0.0,6.0,DET,4,1976
Nate Thurmond*,46.804389928986446,11.6,375.0,CLE,13,1976
George Trapp,45.90005521811154,26.6,153.0,DET,9,1976
Wes Unseld*,49.27644710578842,7.9,310.0,WSB,7,1976
Dick Van Arsdale,55.71227080394922,15.8,472.0,PHO,19,1976
Foots Walker,47.77070063694268,12.0,125.0,CLE,13,1976
Slick Watts,44.70162351908733,16.3,197.0,SEA,6,1976
Nick Weatherspoon,47.12791156731149,19.1,224.0,WSB,7,1976
Bob Weiss,42.95822102425876,10.2,36.0,BUF,7,1976
Paul Westphal*,55.05976747994104,26.9,685.0,PHO,19,1976
John Wetzel,113.63636363636364,18.4,5.0,PHO,2,1976
Jo Jo White*,49.3767200906589,24.4,791.0,BOS,18,1976
Jamaal Wilkes*,47.270781305743846,21.2,450.0,GSW,13,1976
Gus Williams,39.177879881851005,19.1,178.0,GSW,11,1976
Brian Winters,63.815108658158,29.6,126.0,MIL,3,1976
Luke Witte,62.70903010033445,28.5,28.0,CLE,7,1976
Kareem Abdul-Jabbar*,64.64632644684634,37.8,467.0,LAL,11,1977
Tom Abernethy,52.05212702216896,13.9,214.0,LAL,11,1977
Lucius Allen,42.72743457361581,19.2,186.0,LAL,7,1977
Rick Barry*,50.473186119873816,32.0,415.0,GSW,10,1977
Byron Beck,40.41645111226073,12.5,29.0,DEN,5,1977
Henry Bibby,47.33278054173576,13.7,691.0,PHI,19,1977
Dave Bing*,47.40241700236144,27.3,55.0,WSB,8,1977
Tom Boerwinkle,19.92753623188406,5.5,17.0,CHI,3,1977
Tom Boswell,48.46315054139015,11.1,81.0,BOS,9,1977
Jim Brewer,41.98266522210184,9.3,113.0,CLE,3,1977
Allan Bristow,30.809859154929576,12.6,28.0,SAS,2,1977
Gary Brokaw,46.370608168360974,20.8,44.0,CLE,3,1977
Roger Brown,0.0,0.0,5.0,DET,2,1977
Joe Bryant,42.04305208533539,17.5,74.0,PHI,10,1977
Corky Calhoun,53.13199105145414,13.3,94.0,POR,12,1977
Mack Calvin,58.66679132385939,25.1,112.0,DEN,6,1977
Austin Carr,28.54189140596907,12.7,83.0,CLE,3,1977
M.L. Carr,40.97786494816475,11.7,112.0,DET,3,1977
Harvey Catchings,31.73076923076924,3.3,54.0,PHI,8,1977
Don Chaney,41.596638655462186,9.9,412.0,LAL,11,1977
Phil Chenier,52.67510427153746,29.3,360.0,WSB,9,1977
Jim Chones,64.71095772217429,18.0,99.0,CLE,3,1977
Doug Collins,58.94002263296869,25.0,759.0,PHI,19,1977
Norm Cook,99.83277591973246,59.7,3.0,BOS,1,1977
Dave Cowens*,47.20017163698778,17.6,379.0,BOS,9,1977
Louie Dampier*,33.64471184293857,8.5,62.0,SAS,2,1977
Johnny Davis,53.83074611917878,17.2,436.0,POR,16,1977
Darryl Dawkins,56.67264344262294,17.7,331.0,PHI,18,1977
Coby Dietrick,50.84071801863213,17.9,64.0,SAS,2,1977
Leon Douglas,30.938726230003017,8.2,57.0,DET,3,1977
Charles Dudley,43.43629343629343,8.1,236.0,GSW,10,1977
Mike Dunleavy,40.611696168496536,14.5,68.0,PHI,11,1977
Al Eberhard,27.825342465753423,7.8,42.0,DET,3,1977
Julius Erving*,57.78818552651458,30.6,758.0,PHI,19,1977
Chris Ford,42.73313048147486,19.1,101.0,DET,3,1977
Don Ford,48.734177215189874,15.4,333.0,LAL,11,1977
World B. Free,43.82997047244094,28.5,281.0,PHI,15,1977
Terry Furlow,62.55597850425437,44.7,16.0,PHI,5,1977
Mike Gale,42.33823872926887,14.5,67.0,SAS,2,1977
George Gervin*,49.29460119973339,35.5,62.0,SAS,2,1977
Herm Gilliam,44.63369587523086,17.4,295.0,POR,18,1977
Artis Gilmore*,55.793991416309005,20.8,126.0,CHI,3,1977
Leonard Gray,28.571428571428577,10.8,52.0,WSB,8,1977
Kevin Grevey,44.33666470703509,18.1,225.0,WSB,9,1977
Bob Gross,63.95926477893692,20.6,583.0,POR,19,1977
John Havlicek*,43.70008873114463,19.7,375.0,BOS,9,1977
Elvin Hayes*,47.625260960334025,21.9,405.0,WSB,9,1977
Tom Henderson,49.47742939737604,17.8,322.0,WSB,9,1977
Phil Hicks,0.0,0.0,4.0,CHI,1,1977
Wilbur Holland,57.33944954128442,24.5,84.0,CHI,3,1977
Lionel Hollins,45.45070184339591,21.5,682.0,POR,19,1977
