PLAYER,TEAM,GP,W,L,MIN,DREB,ContestedDREB,ContestedDREB%,DREBChances,DREBChance%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance
Aaron Harrison,CHA,1,0,1,6,1,0,0.0,2,50.0,0,50.0,8.0
Al Horford,ATL,10,4,6,327,52,19,36.5,114,45.6,9,49.5,5.1
Al Jefferson,CHA,7,3,4,168,29,14,48.3,52,55.8,4,60.4,3.2
Al-Farouq Aminu,POR,11,5,6,372,72,9,12.5,108,66.7,10,73.5,6.4
Allen Crabbe,POR,10,5,5,284,27,2,7.4,41,65.9,3,71.1,7.9
Amar'e Stoudemire,MIA,7,4,3,74,10,2,20.0,19,52.6,2,58.8,6.3
Amir Johnson,BOS,6,2,4,134,32,9,28.1,56,57.1,5,62.7,4.9
Anderson Varejao,GSW,12,8,4,70,9,1,11.1,26,34.6,4,40.9,4.5
Andre Drummond,DET,4,0,4,131,24,9,37.5,47,51.1,6,58.5,3.5
Andre Iguodala,GSW,24,15,9,767,70,8,11.4,128,54.7,9,58.8,9.6
Andre Miller,SAS,3,2,1,26,3,0,0.0,5,60.0,1,75.0,11.0
Andre Roberson,OKC,18,11,7,471,76,22,28.9,122,62.3,5,65.0,6.5
Andrew Bogut,GSW,22,15,7,365,78,27,34.6,167,46.7,8,49.1,3.9
Andrew Goudelock,HOU,1,0,1,6,1,0,0.0,3,33.3,0,33.3,5.7
Anthony Morrow,OKC,2,2,0,14,2,0,0.0,3,66.7,0,66.7,3.9
Anthony Tolliver,DET,3,0,3,26,3,1,33.3,5,60.0,1,75.0,4.2
Aron Baynes,DET,3,0,3,32,5,2,40.0,9,55.6,0,55.6,5.2
Austin Rivers,LAC,6,2,4,144,12,0,0.0,24,50.0,1,52.2,7.4
Avery Bradley,BOS,1,0,1,33,1,0,0.0,7,14.3,0,14.3,3.2
Bismack Biyombo,TOR,20,10,10,506,134,64,47.8,203,66.0,21,73.6,3.9
Blake Griffin,LAC,4,2,2,127,28,10,35.7,42,66.7,1,68.3,3.8
Boban Marjanovic,SAS,6,4,2,41,10,3,30.0,16,62.5,0,62.5,4.6
Boris Diaw,SAS,8,6,2,150,17,4,23.5,31,54.8,5,65.4,4.8
Brandon Rush,GSW,12,6,6,105,23,7,30.4,38,60.5,6,71.9,6.6
Brian Roberts,POR,1,0,1,8,0,0,0.0,0,0.0,0,0.0,0.0
C.J. Wilcox,LAC,1,0,1,2,1,1,100.0,1,100.0,0,100.0,13.6
CJ McCollum,POR,11,5,6,442,33,4,12.1,70,47.1,2,48.5,11.1
CJ Miles,IND,7,3,4,92,20,0,0.0,24,83.3,0,83.3,7.9
Cameron Payne,OKC,3,1,2,30,4,0,0.0,6,66.7,0,66.7,8.2
Channing Frye,CLE,15,10,5,220,36,10,27.8,67,53.7,7,60.0,4.3
Charlie Villanueva,DAL,2,0,2,15,2,0,0.0,4,50.0,0,50.0,4.0
Chris Andersen,MEM,4,0,4,79,18,7,38.9,34,52.9,4,60.0,3.1
Chris Kaman,POR,4,2,2,32,6,3,50.0,14,42.9,0,42.9,3.5
Chris Paul,LAC,4,2,2,125,12,1,8.3,23,52.2,2,57.1,14.6
Clint Capela,HOU,5,1,4,43,12,4,33.3,18,66.7,1,70.6,4.4
Cody Zeller,CHA,7,3,4,137,28,7,25.0,54,51.9,5,57.1,4.7
Cole Aldrich,LAC,6,2,4,77,22,7,31.8,28,78.6,2,84.6,4.1
Corey Brewer,HOU,3,0,3,56,4,1,25.0,9,44.4,1,50.0,6.5
Cory Joseph,TOR,17,8,9,397,30,6,20.0,63,47.6,5,51.7,7.8
Courtney Lee,CHA,7,3,4,257,15,1,6.7,36,41.7,2,44.1,8.7
