TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Boston Celtics,24,281,10.5,1.08,303,106,233,45.5,51.9,13.2,6.4,11.7,2.5,48.0,100.0
Dallas Mavericks,24,270,9.9,1.05,283,99,230,43.0,52.2,9.6,6.3,8.5,1.1,44.8,96.6
LA Clippers,24,297,11.2,0.91,271,74,215,34.4,40.7,17.2,12.1,16.2,1.7,40.4,55.2
Oklahoma City Thunder,23,260,10.1,0.95,248,88,210,41.9,46.0,13.1,7.7,11.2,1.5,45.0,69.0
Milwaukee Bucks,22,211,8.8,1.0,210,87,175,49.7,51.7,11.8,8.1,11.4,2.8,47.4,93.1
Sacramento Kings,24,204,7.6,0.97,198,76,158,48.1,50.6,13.7,12.7,13.2,3.9,46.1,79.3
Philadelphia 76ers,21,213,9.2,0.91,193,75,172,43.6,46.5,11.7,10.3,11.3,2.8,43.7,51.7
Orlando Magic,25,203,7.4,0.86,175,65,157,41.4,44.9,12.3,11.3,9.9,1.0,42.4,31.0
New Orleans Pelicans,24,208,7.7,0.83,173,60,159,37.7,38.7,14.9,10.1,14.4,1.4,42.3,27.6
Minnesota Timberwolves,22,213,8.8,0.81,173,60,157,38.2,43.0,11.3,16.0,10.3,0.9,38.0,24.1
Charlotte Hornets,23,188,7.2,0.87,163,58,150,38.7,41.3,12.8,9.6,12.2,2.1,41.5,34.5
Indiana Pacers,24,162,6.1,0.99,161,62,135,45.9,49.3,13.0,8.0,12.3,4.3,46.9,89.7
New York Knicks,23,164,6.7,0.98,161,58,135,43.0,47.8,15.2,8.5,15.2,6.1,43.9,82.8
Brooklyn Nets,23,166,6.8,0.95,158,56,136,41.2,47.8,10.2,10.2,9.6,2.4,41.6,65.5
Los Angeles Lakers,23,166,6.6,0.94,156,55,134,41.0,44.0,15.1,7.2,14.5,3.0,45.2,62.1
Memphis Grizzlies,24,171,6.0,0.89,152,56,129,43.4,46.1,12.9,14.0,11.1,2.3,43.3,41.4
Houston Rockets,23,181,6.7,0.8,145,55,149,36.9,38.6,10.5,9.4,9.9,2.2,38.7,17.2
San Antonio Spurs,23,162,6.3,0.88,143,51,130,39.2,44.6,11.1,10.5,9.9,1.9,40.1,37.9
Portland Trail Blazers,23,185,7.0,0.77,142,52,149,34.9,38.9,9.7,11.9,8.6,2.2,35.1,6.9
Detroit Pistons,25,178,6.3,0.79,141,52,135,38.5,41.1,12.4,15.2,10.7,3.4,38.2,10.3
Chicago Bulls,24,132,4.8,0.99,131,51,111,45.9,54.1,5.3,12.1,4.5,1.5,42.4,86.2
Phoenix Suns,22,126,5.2,0.96,121,44,95,46.3,48.9,14.3,12.7,12.7,2.4,46.8,75.9
Cleveland Cavaliers,24,135,5.1,0.9,121,45,105,42.9,49.0,10.4,13.3,8.9,1.5,40.7,44.8
Utah Jazz,22,149,6.0,0.8,119,38,112,33.9,36.6,14.8,12.1,13.4,2.0,37.6,13.8
Miami Heat,21,126,5.5,0.92,116,46,103,44.7,47.6,10.3,8.7,10.3,0.8,46.0,58.6
Denver Nuggets,21,95,4.0,0.96,91,32,68,47.1,50.7,15.8,13.7,13.7,1.1,48.4,72.4
Atlanta Hawks,24,90,3.2,0.9,81,19,59,32.2,39.8,20.0,15.6,18.9,1.1,40.0,48.3
Washington Wizards,21,107,4.4,0.73,78,28,78,35.9,39.1,13.1,17.8,11.2,3.7,35.5,3.4
Golden State Warriors,22,96,3.8,0.8,77,28,77,36.4,38.3,13.5,8.3,12.5,2.1,40.6,20.7
Toronto Raptors,24,100,3.6,0.64,64,24,78,30.8,31.4,10.0,13.0,10.0,1.0,33.0,0.0
